时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略,是否平衡
0.000,359.736,0.270,359.934,0.000,-12.823,0.000,179.736,表3-1启摆,0
0.020,359.714,0.257,359.934,0.000,-22.438,0.000,179.714,表3-1启摆,0
0.040,359.670,0.214,359.934,0.000,-29.647,0.000,179.670,表3-1启摆,0
0.060,359.429,-0.397,359.934,0.000,-12.602,0.000,179.429,表3-1启摆,0
0.080,358.748,-2.747,359.934,0.000,0.379,0.000,178.748,表3-1启摆,0
0.100,358.396,-2.610,359.934,0.000,10.103,0.000,178.396,表3-1启摆,0
0.119,358.396,-2.479,359.934,0.000,17.385,0.000,178.396,表3-1启摆,0
0.139,358.440,-2.115,359.956,10.200,22.816,-0.510,178.440,表3-1启摆,0
0.160,358.550,-2.010,359.934,0.000,26.880,-0.383,178.550,表3-1启摆,0
0.180,358.638,-1.909,359.934,0.000,29.920,-0.287,178.638,表3-1启摆,0
0.199,358.770,-1.244,359.934,0.000,32.144,-0.215,178.770,表3-1启摆,0
0.219,359.407,2.899,359.934,0.000,11.065,-0.161,179.407,表3-1启摆,0
0.239,0.549,4.164,359.934,0.000,20.750,-0.121,179.451,表3-1启摆,0
0.259,1.033,5.155,359.934,0.000,27.931,-0.091,178.967,表3-1启摆,0
0.279,1.978,7.988,359.934,0.000,33.079,-0.068,178.022,表3-1启摆,0
0.300,4.087,14.878,359.934,0.000,36.363,-0.051,175.913,表3-1启摆,0
0.320,7.471,24.034,359.934,0.000,38.059,-0.038,172.529,表3-1启摆,0
0.340,12.458,39.243,359.934,0.000,38.056,-0.029,167.542,表3-1启摆,0
0.360,16.831,43.461,359.934,0.000,37.701,-0.022,163.169,表3-1启摆,0
0.380,19.995,52.927,359.934,4.200,36.642,-0.226,160.005,表3-1启摆,0
0.401,25.708,66.391,359.956,0.000,34.719,-0.170,154.292,表3-1启摆,0
0.421,32.278,73.032,359.956,0.000,32.721,-0.127,147.722,表3-1启摆,0
0.441,35.178,76.400,359.956,0.000,30.941,-0.095,144.822,表3-1启摆,0
0.461,39.199,85.840,359.956,0.000,28.814,-0.072,140.801,表3-1启摆,0
0.481,45.264,96.098,359.956,0.000,26.360,-0.054,134.736,表3-1启摆,0
0.500,48.867,96.363,359.956,4.800,24.497,-0.280,131.133,表3-1启摆,0
0.520,50.625,95.925,359.956,0.000,23.137,-0.210,129.375,表3-1启摆,0
0.540,53.130,99.949,359.956,0.000,21.779,-0.158,126.870,表3-1启摆,0
0.559,57.810,106.681,359.956,0.000,20.197,-0.118,122.190,表3-1启摆,0
0.579,61.985,110.017,359.956,0.000,18.731,-0.089,118.015,表3-1启摆,0
0.599,64.204,108.386,359.956,0.000,17.768,-0.067,115.796,表3-1启摆,0
0.620,65.237,104.977,359.956,0.000,17.332,-0.050,114.763,表3-1启摆,0
0.640,66.050,101.918,359.956,0.000,17.260,-0.037,113.950,表3-1启摆,0
0.660,67.280,101.082,359.956,0.000,17.277,-0.028,112.720,表3-1启摆,0
0.679,69.851,104.758,359.956,0.000,16.982,-0.021,110.149,表3-1启摆,0
0.699,73.938,108.790,359.956,0.000,16.422,-0.016,106.062,表3-1启摆,0
0.719,76.707,109.171,359.956,0.000,15.971,-0.012,103.293,表3-1启摆,0
0.740,78.838,108.122,359.956,4.800,15.720,-0.249,101.162,表3-1启摆,0
0.759,80.266,105.566,359.956,-4.800,15.746,0.053,99.734,表3-1启摆,0
0.779,81.167,102.118,359.956,0.000,16.055,0.040,98.833,表3-1启摆,0
0.800,81.914,98.542,359.956,0.000,16.586,0.030,98.086,表3-1启摆,0
0.820,82.947,96.345,359.956,0.000,17.168,0.023,97.053,表3-1启摆,0
0.839,84.814,98.158,359.956,0.000,17.453,0.017,95.186,表3-1启摆,0
0.859,88.440,103.120,359.956,-4.800,17.251,0.253,91.560,表3-1启摆,0
0.879,91.252,102.464,359.956,4.800,-8.446,-0.051,88.748,表3-1启摆,0
0.900,92.593,98.811,359.956,0.000,-27.412,-0.038,87.407,表3-1启摆,0
0.920,92.681,93.840,359.956,-5.400,-41.221,0.242,87.319,表3-1启摆,0
0.940,92.527,88.818,359.956,0.000,-51.156,0.181,87.473,表3-1启摆,0
0.959,91.604,78.857,359.956,0.000,-57.774,0.136,88.396,表3-1启摆,0
0.979,88.594,65.404,359.956,0.000,-36.010,0.102,91.406,表3-1启摆,0
0.999,84.265,49.474,359.956,0.000,-18.352,0.076,95.735,表3-1启摆,0
1.019,78.530,37.220,359.956,0.000,-4.082,0.057,101.470,表3-1启摆,0
1.040,76.575,33.049,359.956,0.000,6.970,0.043,103.425,表3-1启摆,0
1.059,75.894,30.797,359.956,0.000,15.447,0.032,104.106,表3-1启摆,0
1.079,75.916,29.257,359.956,0.000,21.934,0.024,104.084,表3-1启摆,0
1.100,76.003,28.364,359.956,0.000,26.875,0.018,103.997,表3-1启摆,0
1.120,76.179,27.516,359.956,5.400,30.651,-0.256,103.821,表3-1启摆,0
1.140,76.838,29.770,359.956,0.000,33.294,-0.192,103.162,表3-1启摆,0
1.160,78.684,33.082,359.956,0.000,34.999,-0.144,101.316,表3-1启摆,0
1.179,80.881,36.708,359.956,0.000,35.974,-0.108,99.119,表3-1启摆,0
1.199,82.903,40.812,359.956,0.000,36.362,-0.081,97.097,表3-1启摆,0
1.219,86.704,51.912,359.956,0.000,35.722,-0.061,93.296,表3-1启摆,0
1.240,92.131,60.236,359.956,0.000,8.945,-0.046,87.869,表3-1启摆,0
1.260,96.284,65.474,359.956,0.000,-11.576,-0.034,83.716,表3-1启摆,0
1.280,97.383,61.960,359.956,0.000,-26.673,-0.026,82.617,表3-1启摆,0
1.300,97.273,58.562,359.956,0.000,-37.711,-0.019,82.727,表3-1启摆,0
1.320,97.053,54.284,359.956,0.000,-45.631,-0.014,82.947,表3-1启摆,0
1.340,96.240,47.880,359.956,0.000,-51.034,-0.011,83.760,表3-1启摆,0
1.360,94.263,38.946,359.956,0.000,-54.338,-0.008,85.737,表3-1启摆,0
1.380,89.934,23.229,359.956,0.000,-29.900,-0.006,90.066,表3-1启摆,0
1.400,85.056,10.727,359.956,0.000,-10.524,-0.005,94.944,表3-1启摆,0
1.420,79.937,0.051,359.956,0.000,4.903,-0.003,100.063,表3-1启摆,0
1.440,78.135,-1.212,359.956,0.000,-5.821,-0.003,101.865,表3-1启摆,0
1.460,78.047,-1.181,359.956,0.000,-13.867,-0.002,101.953,表3-1启摆,0
