时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),摆杆控制(RPM),飞轮控制(RPM),倒立误差(°),是否平衡,控制策略
0.00,5.69,0.00,352.86,0.00,160.00,-320.00,174.31,0,大力上摆
0.02,6.99,250.80,350.68,-427.80,160.00,-320.00,173.01,0,大力上摆
0.04,16.72,672.60,329.48,-1328.40,160.00,-320.00,163.28,0,大力上摆
0.06,31.95,825.60,298.23,-1743.00,160.00,-320.00,148.05,0,大力上摆
0.08,49.53,906.00,261.25,-1909.80,160.00,-320.00,130.47,0,大力上摆
0.10,67.98,1002.60,222.80,-1974.60,160.00,-320.00,112.02,0,大力上摆
0.12,87.08,1004.40,184.35,-1844.40,160.00,-320.00,92.92,0,大力上摆
0.14,106.02,931.20,146.91,-1921.80,112.00,-256.00,73.98,0,适度上摆
0.16,124.65,830.40,109.62,-1740.60,112.00,-256.00,55.35,0,适度上摆
0.18,140.30,675.60,75.96,-1677.00,112.00,-256.00,39.70,0,适度上摆
0.20,154.47,618.60,43.90,-1546.20,32.00,-96.00,25.53,0,精细上摆
0.22,167.37,509.40,15.25,-1113.00,32.00,-96.00,12.63,0,精细上摆
0.24,174.46,333.60,356.97,-838.80,32.00,-96.00,5.54,0,精细上摆
0.26,179.43,235.80,342.99,-685.20,32.00,-96.00,0.57,0,精细上摆
0.28,183.58,153.60,330.93,-535.20,32.00,-96.00,3.58,0,精细上摆
0.30,186.75,196.80,318.85,-553.20,32.00,-96.00,6.75,0,精细上摆
0.32,191.10,204.00,307.84,-565.80,32.00,-96.00,11.10,0,精细上摆
0.34,194.72,213.00,296.54,-590.40,32.00,-96.00,14.72,0,精细上摆
0.36,199.12,196.80,284.85,-582.60,32.00,-96.00,19.12,0,精细上摆
0.38,202.54,160.80,273.71,-575.40,32.00,-96.00,22.54,0,精细上摆
0.40,206.04,177.60,261.89,-522.60,32.00,-96.00,26.04,0,精细上摆
0.42,209.66,180.60,250.25,-591.60,32.00,-96.00,29.66,0,精细上摆
0.44,213.90,240.00,239.22,-662.40,112.00,-256.00,33.90,0,适度上摆
0.46,219.09,318.00,225.29,-1000.80,112.00,-256.00,39.09,0,适度上摆
0.48,228.30,593.40,200.68,-1342.20,112.00,-256.00,48.30,0,适度上摆
0.50,240.67,595.80,172.44,-1530.00,112.00,-256.00,60.67,0,适度上摆
0.52,253.96,598.80,142.67,-1446.60,112.00,-256.00,73.96,0,适度上摆
0.54,267.41,659.40,112.54,-1524.60,112.00,-256.00,87.41,0,适度上摆
0.56,280.55,744.60,82.18,-1580.40,160.00,-320.00,100.55,0,大力上摆
0.58,294.10,814.20,49.79,-1698.00,160.00,-320.00,114.10,0,大力上摆
0.60,311.40,946.20,14.02,-1768.20,160.00,-320.00,131.40,0,大力上摆
0.62,330.05,997.20,337.28,-1882.80,160.00,-320.00,150.05,0,大力上摆
0.64,349.17,972.60,300.50,-1871.40,160.00,-320.00,169.17,0,大力上摆
0.66,8.37,923.40,262.49,-1976.40,160.00,-320.00,171.63,0,大力上摆
0.68,27.44,949.80,223.79,-1924.20,160.00,-320.00,152.56,0,大力上摆
0.70,46.14,898.20,184.39,-1934.40,160.00,-320.00,133.86,0,大力上摆
0.72,65.04,939.60,146.56,-1849.20,160.00,-320.00,114.96,0,大力上摆
0.74,84.18,1003.20,109.27,-1851.00,160.00,-320.00,95.82,0,大力上摆
0.76,103.58,996.00,70.80,-1977.60,112.00,-256.00,76.42,0,适度上摆
0.78,122.17,781.20,33.60,-1735.20,112.00,-256.00,57.83,0,适度上摆
0.80,137.66,676.80,0.88,-1500.00,112.00,-256.00,42.34,0,适度上摆
0.82,151.85,671.40,329.35,-1566.60,32.00,-96.00,28.15,0,精细上摆
0.84,164.44,546.00,300.85,-1212.00,32.00,-96.00,15.56,0,精细上摆
0.86,171.08,269.40,282.68,-793.80,32.00,-96.00,8.92,0,精细上摆
0.88,176.53,208.20,268.90,-671.40,32.00,-96.00,3.47,0,精细上摆
0.90,180.66,228.60,257.01,-645.60,32.00,-96.00,0.66,0,精细上摆
0.92,184.22,143.40,245.26,-508.80,32.00,-96.00,4.22,0,精细上摆
0.94,187.65,207.00,233.28,-531.00,32.00,-96.00,7.65,0,精细上摆
