时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°)
0.00,0.00,0.00,359.98,0.00,-76.25,-5.96,180.00
0.02,359.67,-27.00,359.98,16.80,-70.30,-9.62,179.67
0.04,356.51,-292.80,359.96,0.00,-11.80,-5.96,176.51
0.06,350.68,-205.20,359.93,0.00,-28.17,-5.96,170.68
0.08,346.18,-228.00,359.93,0.00,-21.36,-5.96,166.18
0.10,343.19,-111.60,359.91,0.00,-45.13,-5.96,163.19
0.12,340.69,-183.00,359.91,-5.40,-28.71,-4.78,160.69
0.14,336.75,-154.80,359.89,-5.40,-33.11,-4.78,156.75
0.16,333.28,-217.20,359.89,0.00,-18.22,-5.95,153.28
0.18,328.16,-187.80,359.87,0.00,-22.38,-5.95,148.16
0.20,325.88,-106.20,359.87,0.00,-38.95,-5.95,145.88
0.22,323.61,-145.80,359.85,0.00,-29.48,-5.95,143.61
0.24,320.49,-158.40,359.82,0.00,-25.45,-5.95,140.49
0.26,317.00,-221.40,359.80,-4.80,-10.42,-4.91,137.00
0.28,312.06,-180.00,359.80,0.00,-17.23,-5.95,132.06
0.30,310.43,-48.00,359.78,4.80,-44.93,-7.00,130.43
0.32,309.16,-121.80,359.74,-10.80,-28.52,-3.59,129.16
0.34,305.97,-171.00,359.74,0.00,-16.59,-5.95,125.97
0.36,302.65,-170.40,359.71,0.00,-15.31,-5.95,122.65
0.38,298.48,-244.80,359.69,0.00,2.46,-5.95,118.48
0.40,295.51,-36.00,359.67,0.00,-41.19,-5.95,115.51
0.42,295.16,-42.60,359.60,-0.60,-39.62,-5.82,115.16
0.44,293.27,-108.00,359.54,-4.80,-24.76,-4.90,113.27
0.46,290.28,-158.40,358.86,-120.00,-12.65,20.26,110.28
0.48,287.01,-171.60,354.97,-130.20,-8.43,22.55,107.01
0.50,283.29,-198.00,354.20,0.00,-1.18,-5.86,103.29
0.52,280.26,-67.20,354.20,0.00,-28.02,-5.86,100.26
0.54,279.89,-33.00,354.20,0.00,-35.22,-5.86,99.89
0.56,278.72,-88.80,354.16,-4.80,-22.72,-4.81,98.72
0.58,276.99,-85.80,354.13,0.00,-22.63,-5.86,96.99
0.60,274.90,-136.20,354.11,0.00,-10.91,-5.86,94.90
0.62,271.43,-181.80,354.09,0.00,0.37,-5.86,91.43
0.64,268.20,-131.40,354.05,0.00,-9.10,-5.86,88.20
0.66,265.52,-117.00,353.98,-0.60,-11.06,-5.73,85.52
0.68,264.42,-7.20,353.74,-18.60,-34.21,-1.79,84.42
0.70,263.91,-57.60,351.98,-49.80,-23.16,5.05,83.91
0.72,262.49,-73.80,351.72,0.00,-19.07,-5.82,82.49
0.74,261.32,-57.60,351.72,0.00,-22.06,-5.82,81.32
0.76,259.78,-107.40,351.67,-5.40,-10.70,-4.64,79.78
0.78,256.62,-186.00,351.63,-10.20,7.54,-3.59,76.62
0.80,253.52,-102.00,351.61,-0.60,-9.21,-5.69,73.52
0.82,251.78,-105.60,351.58,0.00,-7.70,-5.82,71.78
0.84,249.83,-75.60,351.54,0.00,-13.32,-5.82,69.83
0.86,249.02,-16.80,351.47,-0.60,-25.62,-5.68,69.02
0.88,248.47,-41.40,351.39,-5.40,-20.10,-4.64,68.47
0.90,247.28,-38.40,351.28,-6.00,-20.24,-4.50,67.28
0.92,246.38,-42.60,350.97,-30.60,-18.96,0.87,66.38
0.94,245.13,-75.60,348.38,-112.80,-11.33,18.86,65.13
0.96,243.08,-130.20,347.30,0.00,1.28,-5.75,63.08
0.98,240.05,-142.80,347.32,0.00,5.27,-5.75,60.05
1.00,238.54,-42.60,347.28,-5.40,-15.63,-4.57,58.54
1.02,237.99,-41.40,347.23,0.00,-15.66,-5.75,57.99
1.04,236.38,-109.80,347.17,-10.80,-0.27,-3.39,56.38
1.06,234.25,-77.40,347.08,-4.80,-6.34,-4.69,54.25
1.08,233.59,-16.80,347.04,-5.40,-19.09,-4.56,53.59
1.10,233.22,-34.80,346.95,-5.40,-15.06,-4.56,53.22
1.12,232.23,-49.80,346.86,0.00,-11.41,-5.74,52.23
1.14,231.48,-28.80,346.73,-16.20,-15.61,-2.20,51.48
1.16,230.87,-40.20,346.25,-53.40,-12.90,5.93,50.87
1.18,229.92,-58.80,345.12,-27.60,-8.50,0.31,49.92
1.20,228.82,-65.40,345.10,0.00,-6.62,-5.71,48.82
1.22,227.35,-93.60,345.08,-10.20,0.07,-3.48,47.35
1.24,225.24,-91.80,345.06,0.00,0.58,-5.71,45.24
1.26,224.10,-35.40,345.04,0.00,-11.07,-5.71,44.10
1.28,223.62,-24.60,345.01,0.00,-13.19,-5.71,43.62
1.30,222.60,-76.20,344.99,-0.60,-1.66,-5.58,42.60
1.32,221.18,-55.20,344.97,0.00,-5.57,-5.71,41.18
1.34,220.34,-40.80,344.95,0.00,-8.31,-5.71,40.34
1.36,219.59,-40.80,344.90,0.00,-8.00,-5.71,39.59
1.38,218.58,-58.80,344.86,0.00,-3.70,-5.71,38.58
1.40,217.77,-34.20,344.75,-5.40,-8.65,-4.53,37.77
1.42,217.40,-17.40,343.43,-169.80,-12.10,31.38,37.40
1.44,217.02,-23.40,341.43,-12.60,-10.65,-2.90,37.02
1.46,216.30,-53.40,341.46,4.80,-3.89,-6.70,36.30
1.48,215.44,-12.60,341.43,0.00,-12.30,-5.65,35.44
1.50,215.24,-6.00,341.35,-10.20,-13.64,-3.42,35.24
1.52,214.85,-35.40,341.24,-0.60,-7.15,-5.52,34.85
1.54,213.71,-49.80,341.08,-10.80,-3.57,-3.29,33.71
1.56,212.61,-46.80,340.44,-55.20,-3.75,6.42,32.61
1.58,211.64,-58.20,338.66,-75.60,-0.89,10.90,31.64
1.60,210.52,-43.20,338.31,5.40,-3.64,-6.78,30.52
1.62,209.53,-31.80,338.31,0.00,-5.67,-5.60,29.53
1.64,208.83,-30.00,338.29,0.00,-5.76,-5.60,28.83
1.66,208.08,-46.80,338.25,0.00,-1.83,-5.60,28.08
1.68,207.29,-29.40,338.20,0.00,-5.24,-5.60,27.29
1.70,206.92,-6.60,338.16,0.00,-9.98,-5.60,26.92
1.72,206.61,-12.00,338.09,-0.60,-8.69,-5.46,26.61
1.74,206.02,-48.00,337.94,-10.80,-0.70,-3.23,26.02
1.76,204.90,-34.20,337.15,-89.40,-3.19,13.94,24.90
1.78,204.59,-1.20,336.18,6.00,-10.16,-6.87,24.59
1.80,204.37,-17.40,336.16,0.00,-6.58,-5.56,24.37
1.82,203.84,-43.20,336.14,0.00,-0.81,-5.56,23.84
1.84,202.61,-47.40,336.12,0.00,0.62,-5.56,22.61
1.86,201.95,-7.20,336.07,0.00,-7.75,-5.56,21.95
1.88,201.73,-16.80,336.03,-5.40,-5.59,-4.38,21.73
1.90,201.53,0.00,336.01,0.00,-9.12,-5.56,21.53
1.92,201.34,-11.40,335.96,-5.40,-6.59,-4.38,21.34
1.94,200.83,-40.80,335.94,0.00,-0.05,-5.56,20.83
1.96,199.51,-46.80,335.90,-5.40,1.80,-4.38,19.51
1.98,199.34,0.00,335.85,0.00,-8.19,-5.56,19.34
2.00,199.29,-10.20,335.81,0.00,-5.98,-5.56,19.29
2.02,199.09,-11.40,335.76,0.00,-5.64,-5.56,19.09
2.04,198.98,0.00,335.72,-0.60,-8.04,-5.42,18.98
2.06,198.83,-16.80,335.68,0.00,-4.36,-5.55,18.83
2.08,198.50,-27.00,335.59,-0.60,-2.03,-5.42,18.50
2.10,197.29,-55.20,335.13,-73.80,4.55,10.56,17.29
2.12,196.81,-5.40,331.85,-93.00,-5.96,14.81,16.81
2.14,196.81,-5.40,331.41,0.00,-5.96,-5.48,16.81
2.16,196.68,-6.00,331.41,0.00,-5.77,-5.48,16.68
2.18,196.50,-10.80,331.41,0.00,-4.67,-5.48,16.50
2.20,196.39,-10.20,331.37,0.00,-4.75,-5.48,16.39
2.22,196.26,-10.20,331.35,0.00,-4.69,-5.48,16.26
2.24,196.08,-6.00,331.33,0.00,-5.52,-5.48,16.08
2.26,194.99,-115.80,331.28,0.00,18.55,-5.48,14.99
2.28,193.58,-23.40,331.24,-5.40,-0.72,-4.30,13.58
2.30,193.56,0.00,331.17,-0.60,-5.74,-5.35,13.56
2.32,193.51,-10.20,331.11,-10.80,-3.53,-3.12,13.51
2.34,193.36,-5.40,330.67,-57.00,-4.50,6.97,13.36
2.36,193.21,-21.60,328.86,-17.40,-0.95,-1.64,13.21
2.38,193.12,0.00,328.86,0.00,-5.56,-5.44,13.12
2.40,193.07,-10.80,328.82,0.00,-3.22,-5.44,13.07
2.42,192.92,-10.20,328.78,0.00,-3.28,-5.44,12.92
