时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°)
0.000,0.220,0.000,359.978,0.000,76.153,-5.956,179.780
0.020,0.681,43.200,359.956,-4.800,66.668,-4.908,179.319
0.040,3.757,213.600,359.956,0.000,28.722,-5.956,176.243
0.060,9.426,247.800,359.956,0.000,18.966,-5.956,170.574
0.081,12.942,152.400,359.934,0.000,37.992,-5.955,167.058
0.100,16.501,216.000,359.934,0.000,22.808,-5.955,163.499
0.120,20.039,154.200,359.912,5.400,34.599,-7.134,159.961
0.140,23.533,202.200,359.890,0.000,22.797,-5.955,156.467
0.161,27.488,142.200,359.890,0.000,34.024,-5.955,152.512
0.180,30.125,150.600,359.868,0.000,31.101,-5.954,149.875
0.200,33.772,178.200,359.846,-5.400,23.620,-4.775,146.228
0.220,37.134,169.200,359.824,0.000,24.132,-5.954,142.866
0.240,40.847,223.200,359.824,0.000,10.947,-5.954,139.153
0.260,44.099,73.200,359.802,0.000,41.825,-5.953,135.901
0.280,45.264,99.600,359.780,0.000,35.655,-5.953,134.736
0.300,48.472,189.000,359.780,0.000,15.071,-5.953,131.528
0.320,52.273,178.200,359.758,0.000,15.784,-5.952,127.727
0.340,55.305,164.400,359.736,0.000,17.467,-5.952,124.695
0.360,58.887,137.400,359.714,0.000,21.756,-5.952,121.113
0.380,60.227,35.400,359.692,0.000,43.122,-5.951,119.773
0.400,61.545,118.200,359.648,0.000,24.758,-5.951,118.455
0.420,64.600,165.000,359.583,0.000,13.401,-5.950,115.400
0.440,68.093,132.600,358.967,-159.000,18.888,28.768,111.907
0.460,71.060,175.200,354.792,-111.600,8.471,18.491,108.940
0.480,75.103,131.400,354.133,0.000,16.177,-5.859,104.897
0.500,75.872,16.800,354.133,0.000,40.495,-5.859,104.128
0.520,76.729,88.200,354.133,0.000,24.778,-5.859,103.271
0.540,79.058,127.800,354.089,-4.800,15.276,-4.811,100.942
