时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),误差(°),能量(J),阶段,是否平衡
0.000,359.780,0.000,359.780,0.000,90.000,120.000,179.780,-0.000,渐进启摆,0
0.020,0.066,39.600,0.286,85.200,-207.345,-276.460,179.934,0.000,渐进启摆,0
0.039,0.725,-102.600,0.571,-325.200,500.000,500.000,179.275,0.000,渐进启摆,0
0.060,359.121,519.000,354.089,603.000,-500.000,-500.000,179.121,0.002,渐进启摆,0
0.079,19.797,477.000,17.754,205.200,-500.000,-500.000,160.203,0.001,渐进启摆,0
0.100,2.329,-1717.800,351.189,-1975.800,500.000,500.000,177.671,0.018,渐进启摆,0
0.120,322.141,-1375.200,311.550,-870.600,500.000,500.000,142.141,0.011,渐进启摆,0
0.140,333.083,1560.600,330.557,1819.800,-500.000,-500.000,153.083,0.015,渐进启摆,0
0.159,12.085,1176.600,6.482,695.400,-500.000,-500.000,167.915,0.009,渐进启摆,0
0.179,359.099,-1614.000,345.190,-1784.400,500.000,500.000,179.099,0.016,渐进启摆,0
0.199,318.032,-1447.800,307.156,-816.600,500.000,500.000,138.032,0.012,渐进启摆,0
0.219,330.183,1620.000,328.118,1885.200,-500.000,-500.000,150.183,0.016,渐进启摆,0
0.239,9.998,1185.600,3.977,670.200,-500.000,-500.000,170.002,0.009,渐进启摆,0
0.259,356.924,-1761.000,342.092,-1887.000,500.000,500.000,176.924,0.019,渐进启摆,0
0.280,314.604,-1557.600,304.453,-703.800,500.000,500.000,134.604,0.014,渐进启摆,0
0.299,326.975,1702.800,325.525,1783.800,-500.000,-500.000,146.975,0.018,渐进启摆,0
0.320,7.427,1194.000,357.649,373.800,-500.000,-500.000,172.573,0.009,渐进启摆,0
0.339,353.979,-1873.800,337.104,-1734.000,500.000,500.000,173.979,0.022,渐进启摆,0
0.359,311.462,-1305.000,305.112,-504.000,500.000,500.000,131.462,0.009,渐进启摆,0
0.379,324.404,1768.200,324.536,1628.400,-500.000,-500.000,144.404,0.019,渐进启摆,0
0.399,4.570,1123.800,357.209,552.000,-500.000,-500.000,175.430,0.008,渐进启摆,0
0.419,349.761,-1894.800,339.390,-1523.400,500.000,500.000,169.761,0.022,渐进启摆,0
0.439,308.496,-1245.600,310.078,-479.400,500.000,500.000,128.496,0.008,渐进启摆,0
0.459,321.965,1800.000,328.184,1640.400,-500.000,-500.000,141.965,0.019,渐进启摆,0
0.479,1.560,1147.800,359.604,337.200,-500.000,-500.000,178.440,0.008,渐进启摆,0
0.499,345.894,-1827.000,341.719,-1538.400,500.000,500.000,165.894,0.021,渐进启摆,0
0.519,305.596,-1220.400,314.934,-286.800,500.000,500.000,125.596,0.008,渐进启摆,0
0.540,319.065,1841.400,333.062,1414.200,-500.000,-500.000,139.065,0.020,渐进启摆,0
0.559,0.549,1432.800,1.406,272.400,-500.000,-500.000,179.451,0.013,渐进启摆,0
0.579,347.695,-1812.600,345.432,-1380.000,500.000,500.000,167.695,0.021,渐进启摆,0
0.599,307.024,-1234.800,314.604,-532.800,500.000,500.000,127.024,0.008,渐进启摆,0
