时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略,是否平衡
0.000,0.000,-5.400,359.934,-4.800,101.788,67.858,180.000,增强启摆,0
0.020,0.615,69.600,0.308,31.200,-350.000,-350.000,179.385,增强启摆,0
0.039,0.593,-456.600,359.407,-542.400,350.000,350.000,179.407,增强启摆,0
0.059,346.465,-62.400,346.399,365.400,350.000,350.000,166.465,增强启摆,0
0.079,2.329,1297.800,4.087,1229.400,-350.000,-350.000,177.671,增强启摆,0
0.099,28.806,502.800,26.719,54.000,-350.000,-350.000,151.194,增强启摆,0
0.120,17.666,-1212.000,12.964,-1023.600,350.000,350.000,162.334,增强启摆,0
0.140,351.321,-374.400,351.694,-130.800,350.000,350.000,171.321,增强启摆,0
0.160,3.384,1130.400,5.757,1261.800,-350.000,-350.000,176.616,增强启摆,0
0.180,29.377,624.000,27.883,-19.800,-350.000,-350.000,150.623,增强启摆,0
0.199,19.072,-1136.400,13.975,-973.800,350.000,350.000,160.928,增强启摆,0
0.219,353.123,-351.600,353.298,-74.400,350.000,350.000,173.123,增强启摆,0
0.239,5.493,1113.000,7.954,1231.800,-350.000,-350.000,174.507,增强启摆,0
0.259,30.015,454.200,27.971,-196.200,-350.000,-350.000,149.985,增强启摆,0
0.279,17.952,-1219.200,12.854,-1006.200,350.000,350.000,162.048,增强启摆,0
0.299,351.365,-409.200,351.650,-135.600,350.000,350.000,171.365,增强启摆,0
0.319,3.713,1153.800,5.735,1252.800,-350.000,-350.000,176.287,增强启摆,0
0.339,28.103,447.600,26.016,-214.800,-350.000,-350.000,151.897,增强启摆,0
0.359,15.403,-1324.800,10.854,-1160.400,350.000,350.000,164.597,增强启摆,0
0.379,349.058,-453.600,349.915,110.400,350.000,350.000,169.058,增强启摆,0
0.399,1.560,1191.600,3.911,1170.000,-350.000,-350.000,178.440,增强启摆,0
0.420,27.576,472.200,25.532,-6.000,-350.000,-350.000,152.424,增强启摆,0
