时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°)
0.00,0.02,5.40,0.00,0.00,125.13,-0.00,179.98
0.02,0.22,43.20,0.00,0.00,111.44,-0.00,179.78
0.03,2.90,229.20,0.00,0.00,42.88,-0.00,177.10
0.05,7.51,310.80,0.00,0.00,10.38,-0.00,172.49
0.06,13.23,334.80,0.00,0.00,-2.25,-0.00,166.77
0.08,17.27,171.60,0.00,0.00,53.38,-0.00,162.73
0.09,18.74,92.40,0.00,0.00,80.73,-0.00,161.26
0.11,20.85,185.40,0.00,0.00,45.91,-0.00,159.15
0.13,25.44,388.20,0.00,0.00,-30.02,-0.00,154.56
0.14,31.35,243.00,0.00,0.00,17.85,-0.00,148.65
0.16,33.53,89.40,0.00,0.00,71.36,-0.00,146.47
0.17,34.94,129.00,0.00,0.00,56.18,-0.00,145.06
0.19,37.38,162.60,0.00,0.00,42.41,-0.00,142.62
0.20,41.31,336.60,0.00,0.00,-22.72,-0.00,138.69
0.22,46.14,204.60,0.00,0.00,21.17,-0.00,133.86
0.23,47.92,88.80,0.00,0.00,61.42,-0.00,132.08
0.25,49.59,160.20,0.00,0.00,34.65,-0.00,130.41
0.27,52.51,176.40,0.00,0.00,26.78,-0.00,127.49
0.28,54.98,175.20,0.00,0.00,25.47,-0.00,125.02
0.30,58.23,240.60,359.98,0.00,-0.26,-9.93,121.77
0.31,61.37,136.20,359.98,-0.60,34.94,-9.71,118.63
0.33,62.78,87.60,359.98,0.00,51.36,-9.93,117.22
0.34,64.84,205.20,359.96,0.00,7.76,-9.93,115.16
0.36,68.47,192.60,359.93,0.00,9.71,-9.93,111.53
0.37,70.22,73.20,359.91,0.00,51.26,-9.93,109.78
0.39,71.41,121.80,359.89,0.00,33.01,-9.92,108.59
0.40,74.40,225.00,359.85,0.00,-6.09,-9.92,105.60
0.42,77.54,144.60,359.82,-0.60,20.51,-9.70,102.46
0.43,78.97,85.20,359.78,-4.80,40.79,-8.18,101.03
0.45,80.60,138.60,359.76,0.00,20.50,-9.92,99.40
0.46,83.36,206.40,359.74,0.00,-5.75,-9.92,96.64
0.48,85.76,103.80,359.69,0.00,29.33,-9.92,94.24
0.49,86.57,47.40,359.67,-4.80,48.97,-8.17,93.43
0.51,87.91,134.40,359.63,0.00,16.84,-9.92,92.09
0.53,90.64,179.40,359.58,-4.80,-1.21,-8.17,89.36
0.54,92.94,109.20,359.49,-0.60,22.32,-9.70,87.06
