时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°)
0.00,0.00,0.00,359.98,0.00,-88.95,-6.95,180.00
0.02,358.86,-114.60,0.00,5.40,-59.64,-1.38,178.86
0.04,355.14,-232.80,359.98,4.80,-28.15,-8.17,175.14
0.06,349.17,-293.40,359.96,0.00,-9.99,-6.95,169.17
0.08,345.45,-141.00,359.96,0.00,-46.39,-6.95,165.45
0.10,342.91,-136.20,359.93,0.00,-46.34,-6.95,162.91
0.12,339.24,-196.80,359.93,0.00,-29.32,-6.95,159.24
0.14,333.48,-331.80,359.91,0.00,7.39,-6.95,153.48
0.16,329.85,-88.80,359.89,0.00,-51.78,-6.95,149.85
0.18,328.95,-117.60,359.87,0.00,-44.11,-6.95,148.95
0.20,325.22,-208.80,359.85,0.00,-19.38,-6.95,145.22
0.22,320.76,-246.00,359.82,0.00,-7.84,-6.95,140.76
0.24,315.94,-145.80,359.78,0.00,-30.60,-6.94,135.94
0.26,314.67,-56.40,359.76,0.00,-52.40,-6.94,134.67
0.28,312.52,-171.00,359.71,0.00,-22.59,-6.94,132.52
0.30,308.54,-178.20,359.65,-4.80,-18.82,-5.72,128.54
0.32,304.30,-247.20,359.60,0.00,0.59,-6.94,124.30
0.34,299.97,-123.00,359.52,-5.40,-28.43,-5.56,119.97
0.36,299.40,-22.20,359.32,-37.80,-53.44,2.69,119.40
0.38,297.82,-140.40,356.64,-75.60,-23.00,12.37,117.82
0.40,294.26,-193.80,356.42,0.00,-7.84,-6.88,114.26
0.42,290.63,-176.40,356.40,0.00,-10.42,-6.88,110.63
0.44,286.94,-195.60,356.40,0.00,-3.78,-6.88,106.94
0.46,284.33,-36.00,356.35,-5.40,-42.53,-5.50,104.33
0.48,283.93,-57.00,356.29,0.00,-37.06,-6.88,103.93
0.50,282.06,-115.80,356.22,-4.80,-21.39,-5.65,102.06
0.52,279.76,-123.60,356.09,-4.80,-18.29,-5.65,99.76
0.54,276.39,-193.20,355.96,-5.40,0.83,-5.50,96.39
0.56,272.68,-160.20,355.78,-11.40,-5.61,-3.96,92.68
0.58,269.71,-123.00,354.77,-120.60,-13.48,23.86,89.71
0.60,268.70,-16.80,352.95,-18.60,-39.62,-2.08,88.70
0.62,268.07,-70.80,352.95,0.00,-25.76,-6.81,88.07
0.64,266.29,-66.60,352.92,0.00,-25.93,-6.81,86.29
0.66,264.79,-87.60,352.88,-5.40,-19.93,-5.44,84.79
0.68,261.85,-184.80,352.86,0.00,5.91,-6.81,81.85
0.70,258.00,-146.40,352.81,0.00,-1.82,-6.81,78.00
0.72,255.76,-110.40,352.73,-5.40,-9.74,-5.43,75.76
0.74,253.98,-63.60,352.66,-10.80,-20.61,-4.06,73.98
0.76,253.23,-34.80,352.55,0.00,-27.46,-6.81,73.23
0.78,252.33,-53.40,352.40,-27.60,-22.35,0.23,72.33
0.80,251.15,-54.00,350.42,-175.80,-21.61,38.01,71.15
0.82,249.98,-69.60,348.24,-34.80,-17.12,2.14,69.98
0.84,248.23,-111.60,348.27,0.00,-5.72,-6.72,68.23
0.86,245.02,-175.20,348.24,-5.40,11.82,-5.35,65.02
0.88,242.67,-66.60,348.24,0.00,-14.26,-6.72,62.67
0.90,241.94,-45.60,348.20,0.00,-19.17,-6.72,61.94
0.92,240.34,-110.40,348.16,-0.60,-2.12,-6.57,60.34
0.94,238.14,-77.40,348.11,-5.40,-9.31,-5.34,58.14
0.96,237.55,-16.20,348.00,-4.80,-24.37,-5.50,57.55
0.98,237.11,-46.80,347.72,-29.40,-16.48,0.78,57.11
1.00,235.74,-54.00,345.43,-115.80,-14.00,22.82,55.74
1.02,234.91,-34.80,344.64,16.20,-18.41,-10.78,54.91
1.04,233.96,-78.60,344.62,-5.40,-6.95,-5.28,53.96
1.06,232.29,-88.80,344.62,0.00,-3.57,-6.65,52.29
1.08,230.03,-117.00,344.58,-4.80,4.63,-5.43,50.03
1.10,228.36,-36.60,344.55,0.00,-14.72,-6.65,48.36
1.12,227.81,-34.80,344.51,0.00,-14.90,-6.65,47.81
1.14,226.49,-88.80,344.47,0.00,-0.70,-6.65,46.49
1.16,224.91,-61.20,344.40,-4.80,-6.84,-5.43,44.91
1.18,224.03,-46.20,344.31,-6.00,-10.17,-5.12,44.03
1.20,223.15,-52.20,344.27,-0.60,-8.23,-6.49,43.15
1.22,222.08,-42.00,344.18,0.00,-10.26,-6.64,42.08
1.24,221.37,-40.20,344.09,0.00,-10.36,-6.64,41.37
1.26,220.83,-34.80,343.85,-23.40,-11.44,-0.68,40.83
1.28,220.14,-42.60,341.96,-48.00,-9.15,5.62,40.14
1.30,219.44,-24.00,341.92,0.00,-13.47,-6.60,39.44
1.32,219.00,-23.40,341.92,0.00,-13.40,-6.60,39.00
1.34,217.97,-70.80,341.89,0.00,-1.00,-6.60,37.97
1.36,216.56,-60.00,341.87,0.00,-3.02,-6.60,36.56
1.38,215.42,-49.20,341.83,0.00,-5.16,-6.60,35.42
1.40,214.17,-69.00,341.78,-10.20,0.43,-4.00,34.17
1.42,213.20,-30.00,341.74,0.00,-8.88,-6.60,33.20
1.44,212.65,-39.60,341.70,-5.40,-6.20,-5.22,32.65
1.46,211.82,-58.20,341.65,0.00,-1.12,-6.60,31.82
1.48,211.00,-29.40,341.59,-10.20,-7.95,-4.00,31.00
1.50,210.70,-6.60,341.48,-10.80,-13.51,-3.84,30.70
1.52,210.21,-29.40,341.30,-12.60,-7.55,-3.38,30.21
1.54,209.05,-58.80,340.11,-99.00,0.40,18.65,29.05
1.56,208.19,-34.20,338.80,-0.60,-5.35,-6.39,28.19
1.58,207.84,-12.60,338.80,0.00,-10.60,-6.54,27.84
1.60,207.42,-23.40,338.75,-4.80,-7.68,-5.32,27.42
1.62,206.21,-67.20,338.73,0.00,3.90,-6.54,26.21
1.64,205.36,-1.20,338.64,0.00,-12.23,-6.54,25.36
1.66,205.27,-16.80,338.47,-17.40,-8.27,-2.10,25.27
1.68,204.70,-35.40,337.52,-94.20,-3.32,17.47,24.70
1.70,203.64,-36.60,335.85,-53.40,-2.50,7.12,23.64
1.72,203.38,0.00,335.65,0.00,-11.55,-6.48,23.38
1.74,203.20,-11.40,335.65,0.00,-8.61,-6.48,23.20
1.76,202.92,-6.60,335.61,0.00,-9.67,-6.48,22.92
1.78,202.32,-51.00,335.57,0.00,1.76,-6.48,22.32
1.80,200.92,-39.60,335.50,0.00,-0.40,-6.48,20.92
1.82,200.72,0.00,335.39,-11.40,-10.24,-3.57,20.72
1.84,200.57,-16.80,335.10,-34.20,-5.95,2.24,20.57
1.86,200.26,-12.00,333.48,-86.40,-7.00,15.57,20.26
1.88,199.64,-69.00,332.67,-10.80,7.60,-3.67,19.64
1.90,198.33,-46.80,332.67,0.00,2.69,-6.42,18.33
1.92,198.08,0.00,332.64,0.00,-8.94,-6.42,18.08
1.94,197.97,-6.00,332.53,0.00,-7.38,-6.42,17.97
1.96,197.62,-22.80,332.34,-22.20,-2.99,-0.76,17.62
1.98,196.72,-69.00,332.12,-11.40,9.05,-3.51,16.72
2.00,195.84,-17.40,331.90,-17.40,-3.46,-1.98,15.84
2.02,195.84,0.00,331.02,-73.20,-7.83,12.25,15.84
2.04,195.78,0.00,329.68,-30.60,-7.80,1.43,15.78
2.06,195.56,-10.80,329.55,0.00,-4.98,-6.36,15.56
2.08,195.49,-4.80,329.55,0.00,-6.45,-6.36,15.49
2.10,195.36,-0.60,329.50,0.00,-7.44,-6.36,15.36
2.12,195.14,-10.80,329.44,-0.60,-4.77,-6.21,15.14
2.14,194.17,-103.20,329.37,0.00,18.89,-6.36,14.17
2.16,193.45,6.60,329.22,-16.20,-8.30,-2.23,13.45
2.18,193.47,0.00,328.62,-67.20,-6.66,10.77,13.47
2.20,193.45,0.00,327.70,0.60,-6.65,-6.48,13.45
2.22,193.38,0.00,327.68,-10.80,-6.61,-3.57,13.38
2.24,193.25,-15.60,327.68,0.00,-2.63,-6.33,13.25
2.26,193.14,0.00,327.66,0.00,-6.49,-6.32,13.14
2.28,193.10,-4.80,327.63,0.00,-5.27,-6.32,13.10
2.30,192.99,-10.20,327.61,0.00,-3.86,-6.32,12.99
2.32,192.85,-5.40,327.59,0.00,-5.00,-6.32,12.85
2.34,192.70,-16.80,327.57,0.00,-2.06,-6.32,12.70
