时间(s),摆杆角度(°),摆杆速度(°/s),飞轮角度(°),飞轮速度(°/s),电机1输出(RPM),电机2输出(RPM),倒立误差(°),是否稳定,放缩系数
0.000,359.978,0.000,0.066,0.000,-82.472,-0.363,179.978,0,1.000
0.019,359.912,-16.200,0.044,0.000,-72.779,-0.329,179.912,0,1.000
0.039,357.759,-189.000,0.022,0.000,31.277,0.022,177.759,0,1.000
0.059,354.814,-10.800,0.022,4.800,-73.655,-3.288,174.814,0,1.000
0.079,354.617,-54.000,0.022,0.000,-47.807,-0.243,174.617,0,1.000
0.099,350.903,-231.600,0.022,0.000,59.827,0.121,170.903,0,1.000
0.119,346.970,-69.600,0.022,0.000,-34.998,-0.196,166.970,0,1.000
0.139,346.860,-10.200,0.022,0.000,-70.378,-0.315,166.860,0,1.000
0.159,344.224,-293.400,0.022,0.000,99.750,0.259,164.224,0,1.000
0.179,339.478,22.200,0.022,0.000,-86.320,-0.365,159.478,0,1.000
0.200,339.456,-16.800,0.022,0.000,-63.048,-0.287,159.456,0,1.000
0.220,337.676,-175.800,0.022,0.000,32.606,0.036,157.676,0,1.000
0.240,333.655,-106.800,0.022,0.000,-6.708,-0.094,153.655,0,1.000
0.259,332.952,-7.800,0.022,0.000,-65.436,-0.292,152.952,0,1.000
0.279,331.348,-231.000,0.022,-5.400,68.420,3.488,151.348,0,1.000
0.299,325.767,-145.200,0.022,0.000,19.811,-0.002,145.767,0,1.000
0.319,325.547,0.000,0.022,0.000,-66.695,-0.293,145.547,0,1.000
0.339,325.459,-17.400,0.022,0.000,-56.276,-0.257,145.459,0,1.000
0.359,323.591,-139.800,0.022,0.000,17.587,-0.008,143.591,0,1.000
0.379,321.592,-6.000,0.022,4.800,-61.294,-3.231,141.592,0,1.000
0.399,321.196,-78.600,0.022,0.000,-17.819,-0.126,141.196,0,1.000
0.420,317.153,-227.400,0.022,0.000,72.788,0.181,137.153,0,1.000
0.439,313.638,-25.200,0.022,0.000,-46.207,-0.218,133.638,0,1.000
0.459,313.594,-12.600,0.022,0.000,-53.702,-0.243,133.594,0,1.000
0.479,311.484,-204.000,0.022,0.000,61.428,0.145,131.484,0,1.000
0.499,308.079,21.000,0.022,0.000,-71.216,-0.300,128.079,0,1.000
0.519,308.057,-22.800,0.022,0.000,-45.081,-0.212,128.057,0,1.000
0.540,306.650,-93.000,0.022,0.000,-2.564,-0.068,126.650,0,1.000
0.560,304.980,-51.600,0.022,0.000,-26.493,-0.148,124.980,0,1.000
0.580,303.904,-105.000,0.022,0.000,5.852,-0.038,123.904,0,1.000
0.600,300.762,-157.200,0.022,0.000,38.427,0.073,120.762,0,1.000
0.619,299.158,0.000,0.022,0.000,-54.602,-0.240,119.158,0,1.000
0.639,298.982,-45.600,0.022,0.000,-27.323,-0.148,118.982,0,1.000
0.659,296.257,-183.600,0.022,0.000,56.238,0.135,116.257,0,1.000
0.680,293.049,-6.600,0.022,0.000,-47.867,-0.214,113.049,0,1.000
0.699,293.071,-11.400,0.022,0.000,-45.014,-0.204,113.071,0,1.000
0.719,292.104,-88.200,0.022,0.000,1.238,-0.048,112.104,0,1.000
0.739,290.676,-1.200,0.022,-4.800,-50.009,2.738,110.676,0,1.000
0.759,290.259,-80.400,0.022,0.000,-2.569,-0.060,110.259,0,1.000
0.779,287.578,-120.600,0.022,0.000,22.638,0.026,107.578,0,1.000
0.799,285.161,-88.200,0.022,0.000,4.420,-0.034,105.161,0,1.000
0.819,284.875,0.000,0.022,0.000,-48.058,-0.211,104.875,0,1.000
0.839,284.414,-86.400,0.022,0.000,3.688,-0.037,104.414,0,1.000
0.859,281.689,-96.600,0.022,0.000,11.021,-0.011,101.689,0,1.000
0.879,280.283,-46.800,0.022,0.000,-18.039,-0.108,100.283,0,1.000
0.900,279.756,-58.200,0.022,0.000,-10.997,-0.084,99.756,0,1.000
0.920,278.174,-81.600,0.022,0.000,3.685,-0.034,98.174,0,1.000
0.940,277.273,-0.600,0.022,4.800,-44.207,-3.153,97.273,0,1.000
0.960,276.899,-73.800,0.022,0.000,-0.384,-0.047,96.899,0,1.000
0.980,275.208,-24.600,0.022,0.000,-28.954,-0.142,95.208,0,1.000
