时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),能量(J),模式,是否平衡
0.000,0.945,0.000,3.120,0.000,60.000,75.000,179.055,-0.000,文献能量启摆,0
0.020,0.989,0.000,3.406,46.800,60.000,75.000,179.011,-0.000,文献能量启摆,0
0.040,1.230,21.600,6.086,184.200,-76.001,-95.001,178.770,0.000,文献能量启摆,0
0.059,1.516,-11.400,8.525,-38.400,40.112,50.140,178.484,-0.000,文献能量启摆,0
0.079,1.516,0.000,8.416,18.600,60.000,75.000,178.484,-0.000,文献能量启摆,0
0.099,1.736,21.600,9.470,138.600,-76.001,-95.001,178.264,0.000,文献能量启摆,0
0.120,2.417,-6.000,13.887,33.600,21.112,26.390,177.583,-0.000,文献能量启摆,0
0.140,2.373,0.000,13.799,-5.400,60.000,75.000,177.627,-0.000,文献能量启摆,0
0.160,2.527,27.600,14.590,138.000,-97.113,-121.391,177.473,0.000,文献能量启摆,0
0.180,3.560,-22.800,17.358,-60.600,80.225,100.281,176.440,-0.000,文献能量启摆,0
0.200,3.582,22.200,17.007,52.200,-78.114,-97.642,176.418,-0.000,文献能量启摆,0
0.219,4.702,-4.800,17.798,-30.600,16.890,21.112,175.298,-0.000,文献能量启摆,0
0.240,4.614,0.000,16.831,0.000,60.000,75.000,175.386,-0.000,文献能量启摆,0
0.259,4.966,61.200,17.183,37.200,-215.332,-220.000,175.034,0.000,文献能量启摆,0
0.279,6.460,-92.400,16.458,-264.600,220.000,220.000,173.540,0.000,文献能量启摆,0
0.299,0.989,76.800,9.470,98.400,-220.000,-220.000,179.011,0.000,文献能量启摆,0
0.319,4.263,-134.400,12.239,-181.800,220.000,220.000,175.737,0.000,文献能量启摆,0
0.339,0.242,153.600,6.152,168.600,-220.000,-220.000,179.758,0.000,文献能量启摆,0
0.360,4.504,-125.400,8.284,-243.600,220.000,220.000,175.496,0.000,文献能量启摆,0
0.379,0.220,162.000,4.087,219.000,-220.000,-220.000,179.780,0.000,文献能量启摆,0
0.399,4.438,-121.200,7.515,-217.800,220.000,220.000,175.562,0.000,文献能量启摆,0
0.420,0.813,174.600,3.867,215.400,-220.000,-220.000,179.187,0.000,文献能量启摆,0
0.440,5.427,-88.800,7.581,-217.200,220.000,220.000,174.573,0.000,文献能量启摆,0
0.459,1.318,147.600,3.757,228.000,-220.000,-220.000,178.682,0.000,文献能量启摆,0
0.479,5.801,-83.400,6.855,-257.400,220.000,220.000,174.199,0.000,文献能量启摆,0
0.499,1.472,135.600,3.362,236.400,-220.000,-220.000,178.528,0.000,文献能量启摆,0
0.519,5.098,-106.800,6.833,-240.600,220.000,220.000,174.902,0.000,文献能量启摆,0
0.539,0.505,154.800,3.230,243.600,-220.000,-220.000,179.495,0.000,文献能量启摆,0
0.559,4.570,-108.000,6.152,-262.200,220.000,220.000,175.430,0.000,文献能量启摆,0
0.579,0.110,163.200,2.812,228.000,-220.000,-220.000,179.890,0.000,文献能量启摆,0
0.599,3.472,-144.000,6.262,-241.200,220.000,220.000,176.528,0.000,文献能量启摆,0
0.619,359.143,169.800,2.681,220.200,-220.000,-220.000,179.143,0.000,文献能量启摆,0
0.639,3.450,-144.000,6.262,-238.800,220.000,220.000,176.550,0.000,文献能量启摆,0
0.659,359.033,163.800,3.406,240.600,-220.000,-220.000,179.033,0.000,文献能量启摆,0
0.679,3.494,-144.600,6.702,-238.200,220.000,220.000,176.506,0.000,文献能量启摆,0
0.699,359.670,177.000,3.406,223.200,-220.000,-220.000,179.670,0.000,文献能量启摆,0
0.719,4.307,-112.200,6.899,-205.800,220.000,220.000,175.693,0.000,文献能量启摆,0
0.739,359.890,168.000,3.977,207.000,-220.000,-220.000,179.890,0.000,文献能量启摆,0
0.759,4.373,-102.600,6.965,-163.800,220.000,220.000,175.627,0.000,文献能量启摆,0
0.779,0.549,169.800,4.109,150.600,-220.000,-220.000,179.451,0.000,文献能量启摆,0
0.799,5.251,-81.600,6.855,-136.200,220.000,220.000,174.749,0.000,文献能量启摆,0
0.819,0.989,142.800,4.065,129.000,-220.000,-220.000,179.011,0.000,文献能量启摆,0
0.840,5.559,-81.600,6.306,-124.800,220.000,220.000,174.441,0.000,文献能量启摆,0
0.860,1.121,129.000,3.164,142.200,-220.000,-220.000,178.879,0.000,文献能量启摆,0
0.880,5.713,-56.400,5.999,-148.200,198.448,220.000,174.287,-0.000,文献能量启摆,0
0.900,1.846,87.000,3.494,141.000,-220.000,-220.000,178.154,0.000,文献能量启摆,0
0.920,5.251,-117.000,6.482,-146.400,220.000,220.000,174.749,0.000,文献能量启摆,0
0.940,0.198,145.200,3.450,130.200,-220.000,-220.000,179.802,0.000,文献能量启摆,0
0.960,4.373,-84.000,6.526,-129.000,220.000,220.000,175.627,0.000,文献能量启摆,0
0.980,359.626,136.200,3.428,123.000,-220.000,-220.000,179.626,0.000,文献能量启摆,0
1.000,3.362,-124.800,5.845,-111.000,220.000,220.000,176.638,0.000,文献能量启摆,0
1.020,358.682,152.400,3.098,86.400,-220.000,-220.000,178.682,0.000,文献能量启摆,0
1.040,3.296,-85.800,5.691,-112.200,220.000,220.000,176.704,0.000,文献能量启摆,0
1.060,359.363,160.200,3.142,98.400,-220.000,-220.000,179.363,0.000,文献能量启摆,0
1.080,4.021,-91.800,5.098,-98.400,220.000,220.000,175.979,0.000,文献能量启摆,0
1.100,359.561,168.600,2.834,92.400,-220.000,-220.000,179.561,0.000,文献能量启摆,0
1.120,4.065,-117.600,5.098,-105.600,220.000,220.000,175.935,0.000,文献能量启摆,0
1.140,359.626,144.000,2.769,111.000,-220.000,-220.000,179.626,0.000,文献能量启摆,0
1.160,3.977,-90.600,5.208,-106.800,220.000,220.000,176.023,0.000,文献能量启摆,0
1.180,0.352,166.200,2.659,103.800,-220.000,-220.000,179.648,0.000,文献能量启摆,0
1.200,4.636,-118.200,4.768,-113.400,220.000,220.000,175.364,0.000,文献能量启摆,0
1.220,0.747,142.800,2.065,103.200,-220.000,-220.000,179.253,0.000,文献能量启摆,0
1.240,5.120,-82.800,4.680,-117.000,220.000,220.000,174.880,0.000,文献能量启摆,0
1.260,1.516,151.800,2.000,110.400,-220.000,-220.000,178.484,0.000,文献能量启摆,0
1.280,6.328,-78.000,4.680,-100.800,220.000,220.000,173.672,0.000,文献能量启摆,0
1.300,2.439,125.400,2.527,98.400,-220.000,-220.000,177.561,0.000,文献能量启摆,0
1.319,7.339,-67.800,5.273,-108.600,220.000,220.000,172.661,-0.000,文献能量启摆,0
1.340,4.329,144.600,3.054,122.400,-220.000,-220.000,175.671,0.000,文献能量启摆,0
1.360,9.448,-142.200,5.801,-105.600,220.000,220.000,170.552,0.000,文献能量启摆,0
1.380,5.625,157.200,2.373,112.800,-220.000,-220.000,174.375,0.000,文献能量启摆,0
1.400,10.283,-152.400,5.010,-125.400,220.000,220.000,169.717,0.000,文献能量启摆,0
1.420,6.592,170.400,1.802,116.400,-220.000,-220.000,173.408,0.000,文献能量启摆,0
1.440,11.228,-171.000,4.988,-123.600,220.000,220.000,168.772,0.000,文献能量启摆,0
1.460,6.855,159.600,2.373,111.000,-220.000,-220.000,173.145,0.000,文献能量启摆,0
1.480,11.338,-159.600,5.449,-124.800,220.000,220.000,168.662,0.000,文献能量启摆,0
1.499,7.646,164.400,2.351,100.200,-220.000,-220.000,172.354,0.000,文献能量启摆,0
1.520,12.151,-159.600,4.878,-122.400,220.000,220.000,167.849,0.000,文献能量启摆,0
1.539,7.888,165.600,1.318,94.200,-220.000,-220.000,172.112,0.000,文献能量启摆,0
1.559,11.448,-174.600,3.779,-118.800,220.000,220.000,168.552,0.000,文献能量启摆,0
1.579,7.097,147.000,0.791,94.800,-220.000,-220.000,172.903,0.000,文献能量启摆,0
1.600,11.272,-152.400,3.647,-118.200,220.000,220.000,168.728,0.000,文献能量启摆,0
1.620,6.987,157.800,0.637,93.000,-220.000,-220.000,173.013,0.000,文献能量启摆,0
1.640,11.338,-149.400,3.625,-118.200,220.000,220.000,168.662,0.000,文献能量启摆,0
1.660,6.943,152.400,1.252,105.600,-220.000,-220.000,173.057,0.000,文献能量启摆,0
1.680,10.569,-170.400,4.175,-121.200,220.000,220.000,169.431,0.000,文献能量启摆,0
1.700,6.262,146.400,1.296,109.200,-220.000,-220.000,173.738,0.000,文献能量启摆,0
1.720,10.371,-162.600,4.219,-119.400,220.000,220.000,169.629,0.000,文献能量启摆,0
1.740,6.372,142.200,1.296,100.800,-220.000,-220.000,173.628,0.000,文献能量启摆,0
1.760,9.492,-165.600,4.219,-123.600,220.000,220.000,170.508,0.000,文献能量启摆,0
1.780,5.823,129.600,1.846,116.400,-220.000,-220.000,174.177,0.000,文献能量启摆,0
1.800,9.338,-153.000,4.724,-123.600,220.000,220.000,170.662,0.000,文献能量启摆,0
1.820,5.757,130.200,1.912,103.800,-220.000,-220.000,174.243,0.000,文献能量启摆,0
1.840,9.360,-150.600,4.790,-108.000,220.000,220.000,170.640,0.000,文献能量启摆,0
1.860,6.526,161.400,2.549,121.800,-220.000,-220.000,173.474,0.000,文献能量启摆,0
1.880,9.954,-154.200,5.208,-124.200,220.000,220.000,170.046,0.000,文献能量启摆,0
1.899,6.482,142.200,2.549,114.000,-220.000,-220.000,173.518,0.000,文献能量启摆,0
1.920,9.558,-154.800,4.812,-123.000,220.000,220.000,170.442,0.000,文献能量启摆,0
1.940,5.823,138.600,2.065,103.800,-220.000,-220.000,174.177,0.000,文献能量启摆,0
1.960,9.536,-149.400,4.768,-129.000,220.000,220.000,170.464,0.000,文献能量启摆,0
1.980,5.515,132.000,1.934,99.600,-220.000,-220.000,174.485,0.000,文献能量启摆,0
2.000,9.668,-136.200,4.878,-113.400,220.000,220.000,170.332,0.000,文献能量启摆,0
2.020,6.042,144.000,1.890,98.400,-220.000,-220.000,173.958,0.000,文献能量启摆,0
2.040,10.459,-142.200,4.329,-112.800,220.000,220.000,169.541,0.000,文献能量启摆,0
2.060,6.108,142.800,1.406,94.800,-220.000,-220.000,173.892,0.000,文献能量启摆,0
2.079,10.591,-129.600,4.263,-124.800,220.000,220.000,169.409,0.000,文献能量启摆,0
2.099,6.877,151.800,1.868,91.800,-220.000,-220.000,173.123,0.000,文献能量启摆,0
2.119,11.404,-146.400,4.834,-118.200,220.000,220.000,168.596,0.000,文献能量启摆,0
2.139,6.943,154.200,1.846,100.200,-220.000,-220.000,173.057,0.000,文献能量启摆,0
2.159,10.789,-149.400,4.966,-120.000,220.000,220.000,169.211,0.000,文献能量启摆,0
2.179,6.218,142.200,1.802,100.200,-220.000,-220.000,173.782,0.000,文献能量启摆,0
2.199,10.657,-134.400,5.076,-130.200,220.000,220.000,169.343,0.000,文献能量启摆,0
2.219,6.064,132.600,2.329,94.200,-220.000,-220.000,173.936,0.000,文献能量启摆,0
