时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),倒立误差(°),系统能量(J),是否平衡,控制模式
0.000,359.846,0.000,1.802,0.000,79.200,-100.800,179.846,-0.000,0,能量启摆
0.020,0.066,17.400,1.011,-78.000,-264.000,336.000,179.934,0.000,0,能量启摆
0.040,359.539,-188.400,1.187,489.600,-264.000,336.000,179.539,0.000,0,能量启摆
0.060,348.091,-948.600,19.863,1299.000,-264.000,336.000,168.091,0.006,0,能量启摆
0.080,323.438,-1390.800,51.218,1807.200,-264.000,336.000,143.438,0.011,0,能量启摆
0.100,294.324,-1559.400,88.813,2022.600,-264.000,336.000,114.324,0.013,0,能量启摆
0.120,263.606,-1479.600,127.991,1933.200,192.000,-240.000,83.606,0.009,0,能量启摆
0.140,236.975,-489.000,159.961,420.600,192.000,-240.000,56.975,-0.005,0,能量启摆
0.159,237.744,342.000,156.951,-423.000,192.000,-240.000,57.744,-0.006,0,能量启摆
0.180,249.456,688.800,142.405,-940.200,192.000,-240.000,69.456,-0.003,0,能量启摆
0.200,267.605,983.400,118.762,-1276.800,192.000,-240.000,87.605,0.002,0,能量启摆
0.219,288.875,1140.000,90.439,-1459.800,-264.000,336.000,108.875,0.005,0,能量启摆
0.240,305.376,79.800,69.368,58.200,-264.000,336.000,125.376,-0.002,0,能量启摆
0.259,296.895,-813.600,82.947,1154.400,-264.000,336.000,116.895,0.002,0,能量启摆
0.280,274.219,-1337.400,110.039,1541.400,-264.000,336.000,94.219,0.007,0,能量启摆
0.300,246.313,-1490.400,144.624,1918.800,192.000,-240.000,66.313,0.008,0,能量启摆
0.319,221.243,-396.600,177.495,550.800,192.000,-240.000,41.243,-0.006,0,能量启摆
0.340,222.825,405.000,176.111,-350.400,192.000,-240.000,42.825,-0.006,0,能量启摆
0.360,235.459,762.600,161.477,-867.600,192.000,-240.000,55.459,-0.003,0,能量启摆
0.380,254.114,1026.000,139.351,-1292.400,192.000,-240.000,74.114,0.001,0,能量启摆
0.400,275.537,1133.400,111.116,-1485.000,-264.000,336.000,95.537,0.004,0,能量启摆
0.419,293.027,89.400,88.835,10.200,-264.000,336.000,113.027,-0.002,0,能量启摆
0.440,285.403,-762.600,101.624,957.000,-264.000,336.000,105.403,0.001,0,能量启摆
0.460,263.518,-1215.600,127.749,1521.000,192.000,-240.000,83.518,0.005,0,能量启摆
