时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),摆杆控制(RPM),飞轮控制(RPM),倒立误差(°),是否平衡,控制策略
0.00,0.00,-4.80,359.93,0.00,-160.00,320.00,180.00,0,大力下摆
0.02,358.64,-310.20,2.44,528.00,-160.00,320.00,178.64,0,大力下摆
0.04,348.35,-685.80,24.24,1461.60,-160.00,320.00,168.35,0,大力下摆
0.06,332.97,-896.40,57.37,1753.20,-160.00,320.00,152.97,0,大力下摆
0.08,315.09,-969.00,94.04,1834.20,-160.00,320.00,135.09,0,大力下摆
0.10,296.61,-961.80,131.07,1885.80,-160.00,320.00,116.61,0,大力下摆
0.12,277.84,-928.20,169.43,1935.60,-160.00,320.00,97.84,0,大力下摆
0.14,258.71,-963.60,208.87,1917.60,-112.00,256.00,78.71,0,适度下摆
0.16,240.42,-839.40,245.37,1717.80,-112.00,256.00,60.42,0,适度下摆
0.18,225.13,-706.20,279.29,1666.80,-112.00,256.00,45.13,0,适度下摆
0.20,211.20,-651.00,310.89,1549.80,-112.00,256.00,31.20,0,适度下摆
0.22,197.45,-656.40,341.48,1551.60,-32.00,96.00,17.45,0,精细下摆
0.24,184.39,-546.00,10.77,1218.60,-32.00,96.00,4.39,0,精细下摆
0.26,177.19,-319.20,29.09,805.80,-32.00,96.00,2.81,0,精细下摆
0.28,172.27,-235.80,42.71,670.80,-32.00,96.00,7.73,0,精细下摆
0.30,167.54,-172.80,54.98,561.00,-32.00,96.00,12.46,0,精细下摆
0.32,164.31,-214.20,66.67,584.40,-32.00,96.00,15.69,0,精细下摆
0.34,160.27,-149.40,78.00,558.00,-32.00,96.00,19.73,0,精细下摆
0.36,157.06,-197.40,89.60,550.80,-32.00,96.00,22.94,0,精细下摆
0.38,152.05,-217.80,101.27,619.80,-32.00,96.00,27.95,0,精细下摆
0.40,148.89,-163.80,112.08,556.20,-112.00,256.00,31.11,0,适度下摆
0.42,144.21,-355.80,125.60,875.40,-112.00,256.00,35.79,0,适度下摆
0.44,133.88,-592.20,149.74,1431.00,-112.00,256.00,46.12,0,适度下摆
0.46,122.06,-658.20,178.24,1501.80,-112.00,256.00,57.94,0,适度下摆
0.48,109.56,-599.40,208.63,1471.20,-112.00,256.00,70.44,0,适度下摆
0.50,96.17,-597.60,238.21,1526.40,-112.00,256.00,83.83,0,适度下摆
0.52,82.75,-641.40,268.86,1519.20,-160.00,320.00,97.25,0,大力下摆
0.54,68.55,-769.20,300.37,1719.60,-160.00,320.00,111.45,0,大力下摆
0.56,51.61,-897.60,336.62,1791.00,-160.00,320.00,128.39,0,大力下摆
0.58,33.02,-918.60,14.39,1900.80,-160.00,320.00,146.98,0,大力下摆
0.60,13.91,-975.00,51.94,1906.80,-160.00,320.00,166.09,0,大力下摆
0.62,354.66,-957.00,89.65,1926.00,-160.00,320.00,174.66,0,大力下摆
0.64,335.48,-961.80,127.51,1810.20,-160.00,320.00,155.48,0,大力下摆
0.66,316.47,-991.80,165.70,2003.40,-160.00,320.00,136.47,0,大力下摆
0.68,297.49,-966.00,204.94,1879.20,-160.00,320.00,117.49,0,大力下摆
0.70,278.59,-942.60,243.26,1897.20,-160.00,320.00,98.59,0,大力下摆
0.72,259.54,-934.20,281.43,1876.20,-112.00,256.00,79.54,0,适度下摆
0.74,241.04,-817.20,319.04,1839.60,-112.00,256.00,61.04,0,适度下摆
0.76,225.59,-726.00,352.22,1562.40,-112.00,256.00,45.59,0,适度下摆
0.78,211.62,-674.40,23.64,1560.00,-112.00,256.00,31.62,0,适度下摆
0.80,197.91,-657.60,54.67,1494.00,-32.00,96.00,17.91,0,精细下摆
0.82,185.14,-502.20,83.19,1167.60,-32.00,96.00,5.14,0,精细下摆
0.84,178.18,-307.80,100.85,791.40,-32.00,96.00,1.82,0,精细下摆
0.86,173.28,-222.00,114.08,685.20,-32.00,96.00,6.72,0,精细下摆
0.88,168.42,-210.00,125.93,535.20,-32.00,96.00,11.58,0,精细下摆
0.90,165.15,-163.20,137.81,518.40,-32.00,96.00,14.85,0,精细下摆
0.92,161.04,-195.00,149.81,597.60,-32.00,96.00,18.96,0,精细下摆
0.94,157.96,-163.80,160.91,665.40,-32.00,96.00,22.04,0,精细下摆
0.96,153.22,-267.60,172.18,519.60,-32.00,96.00,26.78,0,精细下摆
0.98,149.68,-151.20,184.24,521.40,-112.00,256.00,30.32,0,适度下摆
1.00,145.24,-345.00,197.80,974.40,-112.00,256.00,34.76,0,适度下摆
1.02,135.22,-606.00,221.20,1307.40,-112.00,256.00,44.78,0,适度下摆
1.04,123.42,-604.80,249.52,1443.00,-112.00,256.00,56.58,0,适度下摆
1.06,110.43,-598.80,279.80,1550.40,-112.00,256.00,69.57,0,适度下摆
1.08,97.10,-616.20,310.28,1512.00,-112.00,256.00,82.90,0,适度下摆
1.10,83.85,-653.40,340.58,1535.40,-160.00,320.00,96.15,0,大力下摆
1.12,70.05,-843.60,12.06,1614.60,-160.00,320.00,109.95,0,大力下摆
1.14,53.13,-943.20,48.05,1894.80,-160.00,320.00,126.87,0,大力下摆
1.16,34.56,-919.20,85.32,1869.00,-160.00,320.00,145.44,0,大力下摆
1.18,15.51,-945.00,123.38,1902.00,-160.00,320.00,164.49,0,大力下摆
1.20,356.15,-982.80,161.28,1872.60,-160.00,320.00,176.15,0,大力下摆
1.22,337.02,-933.00,200.17,2016.00,-160.00,320.00,157.02,0,大力下摆
1.24,318.12,-939.00,237.81,1884.00,-160.00,320.00,138.12,0,大力下摆
1.26,299.22,-969.00,276.55,1959.00,-160.00,320.00,119.22,0,大力下摆
1.28,280.17,-985.80,314.91,1894.20,-160.00,320.00,100.17,0,大力下摆
1.30,261.01,-948.60,353.32,1900.80,-112.00,256.00,81.01,0,适度下摆
1.32,242.40,-796.80,31.33,1779.00,-112.00,256.00,62.40,0,适度下摆
1.34,227.11,-694.20,64.51,1635.60,-112.00,256.00,47.11,0,适度下摆
1.36,213.20,-635.40,95.52,1516.20,-112.00,256.00,33.20,0,适度下摆
1.38,199.47,-666.60,126.17,1482.00,-32.00,96.00,19.47,0,精细下摆
1.40,186.79,-534.60,154.58,1165.80,-32.00,96.00,6.79,0,精细下摆
1.42,180.00,-277.20,172.42,717.00,-32.00,96.00,0.00,0,精细下摆
1.44,174.97,-210.00,186.15,550.20,-32.00,96.00,5.03,0,精细下摆
1.46,170.55,-246.00,198.65,605.40,-32.00,96.00,9.45,0,精细下摆
1.48,166.62,-145.20,209.82,600.60,-32.00,96.00,13.38,0,精细下摆
1.50,163.08,-218.40,220.94,585.00,9.60,-28.80,16.92,0,精细下摆(相位调整)
1.52,159.96,-50.40,231.09,280.20,9.60,-28.80,20.04,0,精细下摆(相位调整)
1.54,159.85,0.00,231.99,0.00,-9.60,28.80,20.15,0,精细上摆(相位调整)
1.56,159.85,0.00,232.03,0.00,-9.60,28.80,20.15,0,精细上摆(相位调整)
1.58,159.76,-5.40,232.45,41.40,9.60,-28.80,20.24,0,精细下摆(相位调整)
1.60,159.68,0.00,234.38,45.60,-9.60,28.80,20.32,0,精细上摆(相位调整)
1.62,159.63,-4.80,234.76,40.80,9.60,-28.80,20.37,0,精细下摆(相位调整)
1.64,159.63,0.00,236.21,18.00,-9.60,28.80,20.37,0,精细上摆(相位调整)
1.66,159.61,0.00,236.36,23.40,-9.60,28.80,20.39,0,精细上摆(相位调整)
1.68,159.54,-5.40,237.81,115.80,9.60,-28.80,20.46,0,精细下摆(相位调整)
1.70,159.41,5.40,239.19,-16.20,-9.60,28.80,20.59,0,精细上摆(相位调整)
1.72,159.37,-10.80,239.24,4.80,9.60,-28.80,20.63,0,精细下摆(相位调整)
1.74,159.35,10.80,239.48,-0.60,-9.60,28.80,20.65,0,精细上摆(相位调整)
1.76,159.32,-4.80,239.52,0.60,9.60,-28.80,20.68,0,精细下摆(相位调整)
1.78,159.30,0.00,239.59,-0.60,-9.60,28.80,20.70,0,精细上摆(相位调整)
1.80,159.28,0.00,239.63,5.40,-9.60,28.80,20.72,0,精细上摆(相位调整)
1.82,159.15,-16.80,240.07,57.00,9.60,-28.80,20.85,0,精细下摆(相位调整)
1.84,158.66,-33.00,241.68,12.60,9.60,-28.80,21.34,0,精细下摆(相位调整)
1.86,158.29,0.00,241.59,0.00,-9.60,28.80,21.71,0,精细上摆(相位调整)
1.88,158.25,-16.20,241.59,0.00,9.60,-28.80,21.75,0,精细下摆(相位调整)
1.90,158.14,10.80,241.59,0.00,-9.60,28.80,21.86,0,精细上摆(相位调整)
1.92,158.12,-4.80,241.59,0.00,9.60,-28.80,21.88,0,精细下摆(相位调整)
1.94,158.09,4.80,241.59,0.00,-9.60,28.80,21.91,0,精细上摆(相位调整)
1.96,158.05,-10.80,241.59,0.00,9.60,-28.80,21.95,0,精细下摆(相位调整)
1.98,158.07,4.80,241.57,0.00,-9.60,28.80,21.93,0,精细上摆(相位调整)
2.00,158.05,0.00,241.59,0.00,-9.60,28.80,21.95,0,精细上摆(相位调整)
2.02,157.94,-5.40,241.72,15.60,-32.00,96.00,22.06,0,精细下摆
2.04,157.19,-124.20,243.65,257.40,-32.00,96.00,22.81,0,精细下摆
2.06,153.11,-225.60,251.72,484.80,-32.00,96.00,26.89,0,精细下摆
2.08,150.18,-116.40,262.18,562.80,-32.00,96.00,29.82,0,精细下摆
2.10,146.98,-185.40,273.36,553.20,-112.00,256.00,33.02,0,适度下摆
2.12,142.60,-343.20,287.23,912.60,-112.00,256.00,37.40,0,适度下摆
2.14,131.92,-596.40,311.29,1389.60,-112.00,256.00,48.08,0,适度下摆
2.16,119.93,-696.00,339.72,1392.00,-112.00,256.00,60.07,0,适度下摆
2.18,107.38,-636.60,9.65,1507.20,-112.00,256.00,72.62,0,适度下摆
2.20,94.24,-601.20,40.41,1451.40,-112.00,256.00,85.76,0,适度下摆
2.22,80.88,-589.80,70.91,1531.80,-160.00,320.00,99.12,0,大力下摆
2.24,66.80,-723.00,102.50,1671.60,-160.00,320.00,113.20,0,大力下摆
2.26,49.90,-873.00,137.37,1892.40,-160.00,320.00,130.10,0,大力下摆
2.28,31.40,-927.00,175.41,1858.20,-160.00,320.00,148.60,0,大力下摆
2.30,12.22,-956.40,214.12,1951.20,-160.00,320.00,167.78,0,大力下摆
2.32,352.97,-967.80,251.70,1863.00,-160.00,320.00,172.97,0,大力下摆
2.34,333.83,-984.00,290.04,1946.40,-160.00,320.00,153.83,0,大力下摆
2.36,314.80,-1011.60,327.83,1896.00,-160.00,320.00,134.80,0,大力下摆
