时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),控制(RPM),倒立误差(°),是否平衡
0.00,0.00,0.00,-0.20,0.00,3000.00,180.00,0
0.02,0.00,0.00,18.94,2823.00,3000.00,180.00,0
0.04,0.00,4.80,129.77,6802.20,3000.00,180.00,0
0.06,0.02,0.00,264.64,6880.80,3000.00,179.98,0
0.08,-0.02,-0.60,403.04,7050.00,3000.00,179.98,0
0.10,0.02,5.40,545.58,7380.60,3000.00,179.98,0
0.12,0.00,-5.40,689.63,7244.40,-3000.00,180.00,0
0.15,0.02,10.80,841.71,3285.60,3000.00,179.98,0
0.16,0.04,0.00,854.91,337.80,3000.00,179.96,0
0.18,0.02,-11.40,909.93,4241.40,-3000.00,179.98,0
0.20,0.00,0.00,999.62,4268.40,3000.00,180.00,0
0.22,-0.02,0.00,1038.05,1609.80,3000.00,179.98,0
0.24,-0.02,0.00,1129.90,6514.80,3000.00,179.98,0
0.26,0.04,10.20,1267.62,6835.80,3000.00,179.96,0
0.28,0.00,-0.60,1407.50,7020.00,3000.00,180.00,0
0.30,-0.02,10.80,1547.56,7091.40,3000.00,179.98,0
0.32,0.07,0.00,1689.52,7400.40,3000.00,179.93,0
0.34,-0.04,-4.80,1833.88,7121.40,3000.00,179.96,0
0.36,0.04,0.00,1979.78,7344.00,3000.00,179.96,0
0.38,0.00,0.00,2124.73,7159.80,3000.00,180.00,0
0.40,0.00,10.20,2270.85,7378.80,3000.00,180.00,0
0.42,0.07,0.00,2415.89,7128.60,3000.00,179.93,0
0.44,-0.04,0.00,2561.42,7398.60,3000.00,179.96,0
0.46,0.07,4.80,2706.39,7175.40,3000.00,179.93,0
0.48,0.00,0.00,2851.00,7191.60,3000.00,180.00,0
0.50,0.00,0.60,2990.15,7007.40,3000.00,180.00,0
0.52,0.04,-6.00,3128.12,6929.40,-3000.00,179.96,0
0.54,-0.04,0.00,3254.55,4845.60,3000.00,179.96,0
0.56,-0.02,0.00,3304.29,2014.20,3000.00,179.98,0
0.58,0.02,0.00,3365.44,2913.60,3000.00,179.98,0
0.60,0.07,5.40,3418.68,5355.00,3000.00,179.93,0
0.62,0.02,-1.20,3539.88,6313.80,3000.00,179.98,0
0.64,-0.02,0.00,3671.21,6858.00,3000.00,179.98,0
0.66,0.02,0.00,3808.61,6985.20,3000.00,179.98,0
0.68,0.00,0.00,3950.31,6985.80,3000.00,180.00,0
0.70,-0.02,4.80,4093.57,7088.40,3000.00,179.98,0
0.72,0.04,0.00,4234.26,7204.80,3000.00,179.96,0
0.74,-0.02,0.00,4370.93,6656.40,3000.00,179.98,0
0.76,0.02,6.00,4506.15,6859.80,3000.00,179.98,0
0.78,0.02,-4.80,4640.41,6650.40,3000.00,179.98,0
0.80,-0.02,0.00,4774.44,7027.20,3000.00,179.98,0
0.82,0.04,0.00,4911.70,6826.20,3000.00,179.96,0
0.84,0.00,-5.40,5050.96,6934.80,-3000.00,180.00,0
0.86,0.00,0.00,5181.00,5117.40,3000.00,180.00,0
0.88,0.04,10.80,5230.09,2130.00,3000.00,179.96,0
0.90,0.04,0.00,5305.45,4077.00,3000.00,179.96,0
0.92,-0.02,-10.20,5397.87,6256.80,-3000.00,179.98,0
0.94,0.00,4.80,5520.74,4953.00,3000.00,180.00,0
0.96,0.04,0.00,5571.08,2379.60,3000.00,179.96,0
0.98,0.04,0.00,5642.36,3799.80,3000.00,179.96,0
1.00,0.00,0.00,5722.05,5722.20,3000.00,180.00,0
1.02,-0.02,5.40,5850.40,6888.00,3000.00,179.98,0
1.04,0.07,0.00,5990.78,7254.60,3000.00,179.93,0
1.06,-0.04,-10.20,6132.33,7131.60,-3000.00,179.96,0
1.08,0.02,0.60,6264.29,5276.40,3000.00,179.98,0
1.10,0.04,0.00,6317.80,1969.80,3000.00,179.96,0
1.12,0.02,0.00,6381.34,3791.40,3000.00,179.98,0
1.14,-0.02,0.00,6463.28,5442.60,3000.00,179.98,0
1.16,0.00,5.40,6597.20,7223.40,3000.00,180.00,0
1.18,0.04,0.00,6738.53,7066.20,3000.00,179.96,0
1.20,-0.04,-4.80,6882.21,7356.00,3000.00,179.96,0
1.22,0.04,10.20,7025.84,7063.20,3000.00,179.96,0
1.24,0.00,0.00,7167.48,7253.40,3000.00,180.00,0
1.26,0.00,0.00,7309.73,7212.60,3000.00,180.00,0
1.28,0.04,0.00,7453.45,7312.20,3000.00,179.96,0
1.30,-0.02,0.00,7595.20,7249.80,3000.00,179.98,0
1.32,0.04,4.80,7738.53,7312.80,3000.00,179.96,0
1.34,0.00,-4.80,7882.16,6951.00,3000.00,180.00,0
1.36,-0.02,4.80,8024.99,7069.20,3000.00,179.98,0
1.38,0.04,0.00,8167.70,7236.00,3000.00,179.96,0
1.40,-0.02,0.00,8309.64,7338.60,3000.00,179.98,0
1.42,0.02,0.00,8451.67,6909.60,3000.00,179.98,0
1.44,0.00,-1.20,8595.64,7151.40,3000.00,180.00,0
1.46,-0.02,0.00,8737.40,7284.60,3000.00,179.98,0
1.48,0.04,0.00,8880.58,7453.80,3000.00,179.96,0
1.50,-0.02,4.80,9022.72,7116.60,3000.00,179.98,0
1.52,0.04,5.40,9165.63,7160.40,3000.00,179.96,0
1.54,0.00,-10.80,9310.19,7009.20,-3000.00,180.00,0
1.56,-0.02,0.00,9440.33,5200.80,3000.00,179.98,0
1.58,0.02,0.00,9492.45,1628.40,3000.00,179.98,0
1.60,0.04,0.00,9552.48,3591.00,3000.00,179.96,0
1.62,0.02,0.00,9629.52,5562.60,3000.00,179.98,0
1.64,-0.02,0.00,9763.37,7078.80,3000.00,179.98,0
1.66,0.04,0.00,9907.29,7058.40,3000.00,179.96,0
1.68,0.00,0.00,10047.57,7290.60,3000.00,180.00,0
1.70,0.00,4.80,10189.47,7165.20,3000.00,180.00,0
1.72,0.04,0.00,10334.33,7215.60,3000.00,179.96,0
1.74,-0.02,0.00,10476.50,7059.60,3000.00,179.98,0
1.76,0.04,0.00,10620.07,7097.40,3000.00,179.96,0
1.78,0.00,-4.80,10761.57,7030.20,3000.00,180.00,0
1.80,-0.02,0.00,10905.34,7339.80,3000.00,179.98,0
1.82,0.04,-0.60,11048.62,7451.40,3000.00,179.96,0
1.84,-0.02,0.00,11190.59,7305.60,3000.00,179.98,0
1.86,0.04,0.00,11332.86,7087.20,3000.00,179.96,0
1.88,0.00,-0.60,11477.09,7281.60,3000.00,180.00,0
1.90,-0.02,0.60,11620.57,7285.20,3000.00,179.98,0
1.92,0.04,0.00,11763.08,7328.40,3000.00,179.96,0
1.94,-0.02,-0.60,11906.08,7057.80,3000.00,179.98,0
1.96,0.04,6.00,12048.66,6988.80,3000.00,179.96,0
1.98,0.00,-1.80,12193.15,7203.00,3000.00,180.00,0
2.00,-0.02,5.40,12334.94,7429.20,3000.00,179.98,0
2.02,0.04,0.00,12477.88,7317.60,3000.00,179.96,0
2.04,-0.02,-0.60,12619.64,6907.80,3000.00,179.98,0
2.06,0.04,0.60,12763.65,7173.00,3000.00,179.96,0
2.08,0.00,-10.80,12908.78,7325.40,-3000.00,180.00,0
2.10,-0.02,0.00,13039.58,5152.20,3000.00,179.98,0
2.12,0.02,0.00,13091.15,1588.20,3000.00,179.98,0
2.14,0.04,0.00,13151.97,3664.80,3000.00,179.96,0
2.16,0.02,0.00,13234.33,5624.40,3000.00,179.98,0
2.18,-0.02,0.00,13368.69,7039.20,3000.00,179.98,0
2.20,0.04,5.40,13512.44,7223.40,3000.00,179.96,0
2.22,-0.02,-5.40,13655.57,7300.20,-3000.00,179.98,0
2.24,0.00,0.00,13788.00,5348.40,3000.00,180.00,0
2.26,0.04,4.80,13841.59,1639.20,3000.00,179.96,0
2.28,0.04,0.00,13903.22,3592.80,3000.00,179.96,0
2.30,0.00,0.00,13984.91,5630.40,3000.00,180.00,0
2.32,-0.02,0.00,14117.94,6955.20,3000.00,179.98,0
2.34,0.04,0.00,14261.97,7266.00,3000.00,179.96,0
2.36,-0.02,-10.80,14406.88,7161.60,-3000.00,179.98,0
2.38,0.02,0.00,14539.48,5352.00,3000.00,179.98,0
2.40,0.07,0.00,14597.67,2109.00,3000.00,179.93,0
2.42,0.07,0.00,14664.79,4016.40,3000.00,179.93,0
2.44,0.04,0.00,14749.54,5490.00,3000.00,179.96,0
2.46,0.09,5.40,14885.16,7267.20,3000.00,179.91,0
2.48,0.11,-10.20,15028.33,7198.20,-3000.00,179.89,0
2.50,0.02,0.00,15161.09,5302.20,3000.00,179.98,0
2.52,0.02,0.00,15211.93,1559.40,3000.00,179.98,0
2.54,0.00,0.00,15273.21,3796.20,-3000.00,180.00,0
2.56,-0.04,-5.40,15348.08,4060.80,-3000.00,179.96,0
2.58,-0.18,-4.80,15382.64,-874.80,-3000.00,179.82,0
2.60,-0.26,-6.00,15302.22,-6450.00,-3000.00,179.74,0
2.62,-0.48,-22.20,15158.63,-7623.60,-3000.00,179.52,0
2.64,-0.73,-17.40,15004.69,-7601.40,-3000.00,179.27,0
2.66,-3.01,-142.80,14855.62,-7564.20,-3000.00,176.99,0
2.68,-6.20,-193.20,14703.95,-7491.00,-3000.00,173.80,0
2.70,-9.45,-118.20,14551.81,-7588.20,-3000.00,170.55,0
2.72,-10.37,-1.80,14399.28,-7641.00,-3000.00,169.63,0
2.74,-10.37,0.60,14249.14,-7632.60,-3000.00,169.63,0
2.76,-10.46,-4.80,14098.32,-7385.40,-3000.00,169.54,0
2.78,-10.59,-10.80,13945.87,-7541.40,-3000.00,169.41,0
2.80,-10.88,-33.00,13794.41,-7780.20,-3000.00,169.12,0
2.82,-11.84,-114.00,13643.24,-7635.00,-3000.00,168.16,0
2.84,-14.06,-121.80,13490.35,-7543.20,-3000.00,165.94,0
2.86,-15.82,-54.00,13339.84,-7715.40,-3000.00,164.18,0
2.88,-16.59,-34.80,13187.90,-7648.20,-3000.00,163.41,0
2.90,-17.53,-51.60,13034.49,-7526.40,-3000.00,162.47,0
2.92,-18.26,-33.00,12882.90,-7722.60,-3000.00,161.74,0
2.94,-18.83,-37.80,12731.26,-7695.60,-3000.00,161.17,0
2.96,-20.32,-93.00,12580.05,-7549.20,-3000.00,159.68,0
2.98,-23.20,-207.00,12428.79,-7684.20,-3000.00,156.80,0
3.00,-26.85,-140.40,12278.28,-7496.40,-3000.00,153.15,0
3.02,-29.11,-100.80,12126.34,-7651.20,-3000.00,150.89,0
3.04,-31.49,-116.40,11975.87,-7381.80,-3000.00,148.51,0
3.06,-33.20,-64.80,11823.49,-7501.20,-3000.00,146.80,0
3.08,-34.91,-118.20,11671.26,-7486.80,-3000.00,145.09,0
3.10,-38.08,-204.00,11521.14,-7587.00,-3000.00,141.92,0
3.12,-42.67,-177.60,11369.51,-7464.60,-3000.00,137.33,0
3.14,-45.20,-104.40,11216.36,-7486.20,-3000.00,134.80,0
3.16,-46.91,-72.60,11065.10,-7447.80,-3000.00,133.09,0
3.18,-48.23,-59.40,10912.81,-7646.40,-3000.00,131.77,0
3.20,-48.60,5.40,10761.42,-7415.40,3000.00,131.40,0
3.22,-48.47,0.00,10621.03,-5771.40,-3000.00,131.53,0
3.24,-48.54,0.00,10564.70,-1589.40,-3000.00,131.46,0
3.26,-48.58,0.00,10501.79,-3915.60,-3000.00,131.42,0
3.28,-48.56,11.40,10404.32,-6546.00,3000.00,131.44,0
3.30,-48.43,0.60,10271.45,-5812.20,-3000.00,131.57,0
3.32,-48.41,4.80,10217.09,-1542.00,-3000.00,131.59,0
3.34,-48.43,0.00,10154.36,-3929.40,-3000.00,131.57,0
3.36,-48.38,0.00,10064.95,-6134.40,-3000.00,131.62,0
3.38,-48.21,5.40,9921.29,-7670.40,3000.00,131.79,0
3.40,-48.30,-4.80,9782.60,-5538.60,-3000.00,131.70,0
3.42,-48.30,0.00,9726.48,-1701.60,-3000.00,131.70,0
3.44,-48.25,0.00,9662.10,-3949.20,-3000.00,131.75,0
3.46,-48.16,0.00,9567.53,-6529.80,-3000.00,131.84,0
3.48,-48.25,-0.60,9423.79,-7246.80,-3000.00,131.75,0
3.50,-48.23,6.00,9272.50,-7612.80,3000.00,131.77,0
3.52,-48.21,-5.40,9131.90,-5451.00,-3000.00,131.79,0
3.54,-48.25,0.00,9076.77,-1659.00,-3000.00,131.75,0
3.56,-48.23,0.00,9013.51,-3925.80,-3000.00,131.77,0
3.58,-47.97,28.20,8919.34,-6238.20,3000.00,132.03,0
3.60,-46.41,115.20,8788.47,-5313.00,3000.00,133.59,0
3.62,-44.17,112.20,8745.67,676.20,3000.00,135.83,0
3.64,-42.23,77.40,8794.73,2771.40,3000.00,137.77,0
3.66,-40.19,36.00,8861.77,5340.00,3000.00,139.81,0
3.68,-39.95,1.20,8993.98,6961.20,-3000.00,140.05,0
3.70,-39.55,39.60,9126.94,5465.40,3000.00,140.45,0
3.72,-38.65,57.00,9180.66,1665.60,3000.00,141.35,0
3.74,-36.54,153.00,9241.52,3768.60,3000.00,143.46,0
3.76,-29.88,345.00,9322.82,5491.20,3000.00,150.12,0
3.78,-24.37,197.40,9456.46,7294.20,3000.00,155.63,0
