时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略
0.000,138.801,0.000,359.978,0.000,14.543,-4.963,41.199,纯LQR平衡
0.020,138.845,10.800,359.978,0.000,12.592,-4.963,41.155,纯LQR平衡
0.040,138.889,0.000,359.956,0.000,14.512,-4.963,41.111,纯LQR平衡
0.060,138.933,4.800,359.956,0.000,13.636,-4.963,41.067,纯LQR平衡
0.080,138.999,0.000,359.956,-4.800,14.473,-4.090,41.001,纯LQR平衡
0.100,139.065,0.000,359.956,0.000,14.450,-4.963,40.935,纯LQR平衡
0.120,139.109,0.000,359.934,0.000,14.434,-4.963,40.891,纯LQR平衡
0.141,139.219,0.000,359.934,0.000,14.395,-4.963,40.781,纯LQR平衡
0.160,139.460,45.000,359.890,0.000,6.246,-4.962,40.540,纯LQR平衡
0.181,141.899,87.600,359.868,0.000,-2.249,-4.962,38.101,纯LQR平衡
0.200,143.438,68.400,359.846,-4.800,0.649,-4.088,36.562,纯LQR平衡
0.221,144.976,87.000,359.802,0.000,-3.227,-4.961,35.024,纯LQR平衡
0.240,146.646,78.600,359.780,0.000,-2.311,-4.961,33.354,纯LQR平衡
0.260,147.700,35.400,359.780,0.000,5.058,-4.961,32.300,纯LQR平衡
0.280,148.162,33.600,359.758,-4.800,5.218,-4.087,31.838,纯LQR平衡
0.300,148.535,22.800,359.736,0.000,7.021,-4.960,31.465,纯LQR平衡
0.320,149.041,30.000,359.714,0.000,5.552,-4.960,30.959,纯LQR平衡
0.340,149.788,34.800,359.714,0.000,4.429,-4.960,30.212,纯LQR平衡
0.360,150.513,34.800,359.692,0.000,4.173,-4.959,29.487,纯LQR平衡
0.380,151.040,23.400,359.670,0.000,6.029,-4.959,28.960,纯LQR平衡
0.400,151.414,22.800,359.670,0.000,6.005,-4.959,28.586,纯LQR平衡
0.420,151.853,39.000,359.626,-4.800,2.947,-4.085,28.147,纯LQR平衡
0.440,152.600,24.600,359.626,0.000,5.264,-4.959,27.400,纯LQR平衡
0.460,153.018,6.600,359.604,-4.800,8.342,-4.085,26.982,纯LQR平衡
0.480,153.237,7.200,359.583,0.000,8.157,-4.958,26.763,纯LQR平衡
0.500,153.545,22.200,359.561,0.000,5.360,-4.958,26.455,纯LQR平衡
0.520,154.116,41.400,359.539,0.000,1.718,-4.957,25.884,纯LQR平衡
0.540,154.622,11.400,359.517,-0.600,6.916,-4.848,25.378,纯LQR平衡
0.559,154.688,6.000,359.495,0.000,7.860,-4.957,25.312,纯LQR平衡
0.579,154.819,0.600,359.451,-4.800,8.781,-4.083,25.181,纯LQR平衡
0.599,154.929,10.800,359.363,-0.600,6.914,-4.846,25.071,纯LQR平衡
0.619,155.061,1.200,356.836,-214.800,8.588,34.154,24.939,纯LQR平衡
0.639,155.281,17.400,352.947,-114.600,5.608,15.980,24.719,纯LQR平衡
0.659,156.401,69.600,352.639,0.000,-4.142,-4.862,23.599,纯LQR平衡
0.679,156.819,0.000,352.661,0.000,8.183,-4.863,23.181,纯LQR平衡
0.699,156.907,21.600,352.661,0.000,4.281,-4.863,23.093,纯LQR平衡
0.719,157.170,16.200,352.639,0.000,5.156,-4.862,22.830,纯LQR平衡
0.739,157.412,7.200,352.639,0.000,6.683,-4.862,22.588,纯LQR平衡
0.759,157.939,51.600,352.617,-5.400,-1.460,-3.880,22.061,纯LQR平衡
0.779,159.565,88.800,352.595,0.000,-8.700,-4.862,20.435,纯LQR平衡
0.799,161.367,81.600,352.573,0.000,-8.046,-4.861,18.633,纯LQR平衡
0.819,162.312,24.000,352.529,0.000,1.943,-4.861,17.688,纯LQR平衡
0.839,162.444,15.600,352.507,-5.400,3.402,-3.878,17.556,纯LQR平衡
0.859,162.532,16.200,352.485,0.000,3.263,-4.860,17.468,纯LQR平衡
0.879,162.642,16.200,352.463,0.000,3.224,-4.860,17.358,纯LQR平衡
0.899,162.686,0.000,352.419,0.000,6.112,-4.859,17.314,纯LQR平衡
0.919,162.729,1.200,352.397,0.000,5.881,-4.859,17.271,纯LQR平衡
0.939,162.861,4.800,352.354,-5.400,5.190,-3.876,17.139,纯LQR平衡
0.959,162.949,0.000,352.310,0.000,6.019,-4.858,17.051,纯LQR平衡
0.979,163.037,0.000,352.266,0.000,5.988,-4.857,16.963,纯LQR平衡
0.999,163.762,91.200,352.222,0.000,-10.611,-4.856,16.238,纯LQR平衡
1.019,165.103,6.600,352.068,-11.400,4.076,-2.781,14.897,纯LQR平衡
1.039,165.103,0.000,350.134,-124.200,5.259,17.765,14.897,纯LQR平衡
1.059,165.146,10.800,349.233,15.600,3.308,-7.653,14.854,纯LQR平衡
1.079,165.256,0.000,349.211,0.000,5.204,-4.815,14.744,纯LQR平衡
1.099,165.344,0.600,349.211,0.000,5.066,-4.815,14.656,纯LQR平衡
1.119,165.432,0.000,349.167,0.000,5.142,-4.814,14.568,纯LQR平衡
1.139,165.564,10.800,349.124,0.000,3.160,-4.814,14.436,纯LQR平衡
1.159,165.696,0.600,349.058,-5.400,4.942,-3.831,14.304,纯LQR平衡
1.179,165.938,16.800,348.992,0.000,1.953,-4.812,14.062,纯LQR平衡
1.199,167.190,70.800,348.904,-0.600,-8.166,-4.702,12.810,纯LQR平衡
1.219,167.937,5.400,348.794,-10.200,3.290,-2.954,12.063,纯LQR平衡
1.239,167.937,5.400,348.574,-8.400,3.290,-3.278,12.063,纯LQR平衡
1.259,167.981,5.400,346.816,-110.400,3.275,15.301,12.019,纯LQR平衡
1.279,168.091,0.600,346.201,0.000,4.096,-4.773,11.909,纯LQR平衡
1.299,168.179,0.000,346.201,0.000,4.173,-4.773,11.821,纯LQR平衡
1.319,168.245,4.800,346.179,0.000,3.289,-4.773,11.755,纯LQR平衡
1.339,168.333,1.200,346.157,-4.800,3.903,-3.900,11.667,纯LQR平衡
1.359,168.420,0.000,346.135,0.000,4.088,-4.773,11.580,纯LQR平衡
1.379,168.486,0.000,346.113,0.000,4.064,-4.772,11.514,纯LQR平衡
1.399,168.618,10.800,346.069,0.000,2.082,-4.772,11.382,纯LQR平衡
1.419,169.211,75.000,346.025,0.000,-9.632,-4.771,10.789,纯LQR平衡
1.439,170.244,0.000,345.981,0.000,3.444,-4.770,9.756,纯LQR平衡
1.459,170.222,0.000,345.938,0.000,3.452,-4.770,9.778,纯LQR平衡
1.479,170.244,0.000,345.894,0.000,3.444,-4.769,9.756,纯LQR平衡
1.499,170.310,4.800,345.850,-10.200,2.560,-2.913,9.690,纯LQR平衡
1.519,170.354,0.000,345.828,0.000,3.405,-4.768,9.646,纯LQR平衡
1.539,170.376,0.000,345.806,0.000,3.397,-4.768,9.624,纯LQR平衡
1.559,170.420,5.400,345.762,-5.400,2.414,-3.785,9.580,纯LQR平衡
1.579,170.442,0.000,345.740,0.000,3.374,-4.767,9.558,纯LQR平衡
1.599,170.464,0.000,345.718,0.000,3.366,-4.767,9.536,纯LQR平衡
1.619,170.464,0.000,345.674,0.000,3.366,-4.766,9.536,纯LQR平衡
1.639,170.486,0.000,345.630,-5.400,3.358,-3.783,9.514,纯LQR平衡
1.659,170.508,5.400,345.564,-4.800,2.383,-3.892,9.492,纯LQR平衡
1.679,170.508,0.000,345.388,-11.400,3.351,-2.689,9.492,纯LQR平衡
1.699,170.508,0.000,342.598,-155.400,3.351,23.545,9.492,纯LQR平衡
1.719,170.530,5.400,340.400,-63.000,2.375,6.767,9.470,纯LQR平衡
1.739,170.552,0.000,339.456,-35.400,3.335,1.759,9.448,纯LQR平衡
1.759,170.552,0.000,338.906,-28.200,3.335,0.457,9.448,纯LQR平衡
1.779,170.574,0.000,338.752,-0.600,3.327,-4.562,9.426,纯LQR平衡
1.799,170.574,0.000,338.730,0.000,3.327,-4.670,9.426,纯LQR平衡
1.819,170.596,0.000,338.708,0.000,3.320,-4.670,9.404,纯LQR平衡
1.839,170.618,0.000,338.643,-0.600,3.312,-4.560,9.382,纯LQR平衡
