时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),倒立误差(°),系统能量(J),是否平衡,控制模式
0.000,359.934,0.000,0.044,0.000,79.200,-100.800,179.934,-0.000,0,能量启摆
0.020,0.154,39.600,359.692,-35.400,-264.000,336.000,179.846,0.000,0,能量启摆
0.040,0.220,-246.600,0.396,473.400,-264.000,336.000,179.780,0.000,0,能量启摆
0.060,346.025,-1075.800,18.896,1249.800,-264.000,336.000,166.025,0.007,0,能量启摆
0.080,321.021,-1318.800,49.900,1693.200,-264.000,336.000,141.021,0.010,0,能量启摆
0.100,292.104,-1464.600,87.012,1910.400,-264.000,336.000,112.104,0.011,0,能量启摆
0.120,261.672,-1484.400,126.057,2070.600,180.000,-240.000,81.672,0.009,0,能量启摆
0.140,235.283,-527.400,159.500,529.800,180.000,-240.000,55.283,-0.005,0,能量启摆
0.160,236.030,333.000,156.204,-411.600,180.000,-240.000,56.030,-0.006,0,能量启摆
0.180,246.204,669.000,142.976,-979.800,180.000,-240.000,66.204,-0.003,0,能量启摆
0.200,263.145,889.800,119.136,-1240.200,180.000,-240.000,83.145,0.000,0,能量启摆
0.220,283.250,1074.600,91.604,-1492.200,-264.000,336.000,103.250,0.004,0,能量启摆
0.240,299.905,216.600,69.500,12.600,-264.000,336.000,119.905,-0.002,0,能量启摆
0.260,292.742,-782.400,81.936,952.200,-264.000,336.000,112.742,0.001,0,能量启摆
0.280,270.000,-1327.200,108.655,1589.400,-0.000,0.000,90.000,0.007,0,能量启摆
0.300,245.544,-883.800,138.560,1077.000,180.000,-240.000,65.544,-0.001,0,能量启摆
0.320,236.821,87.000,147.371,-93.000,180.000,-240.000,56.821,-0.006,0,能量启摆
0.340,242.051,426.600,139.263,-747.600,180.000,-240.000,62.051,-0.005,0,能量启摆
0.360,256.179,892.200,121.223,-1148.400,180.000,-240.000,76.179,-0.000,0,能量启摆
0.380,275.186,967.200,96.548,-1387.200,-264.000,336.000,95.186,0.002,0,能量启摆
0.400,290.786,2.400,74.575,-6.600,-264.000,336.000,110.786,-0.003,0,能量启摆
0.420,282.546,-688.200,86.375,1004.400,-264.000,336.000,102.546,-0.000,0,能量启摆
0.440,261.826,-1201.800,113.730,1599.000,180.000,-240.000,81.826,0.004,0,能量启摆
0.460,239.194,-563.400,141.877,549.600,180.000,-240.000,59.194,-0.004,0,能量启摆
0.480,239.612,249.600,138.384,-386.400,180.000,-240.000,59.612,-0.006,0,能量启摆
0.500,249.324,702.600,123.662,-1111.800,180.000,-240.000,69.324,-0.002,0,能量启摆
0.520,267.100,981.600,100.701,-1263.600,180.000,-240.000,87.100,0.002,0,能量启摆
0.540,287.666,1110.600,72.795,-1405.200,-264.000,336.000,107.666,0.005,0,能量启摆
0.560,303.794,63.000,50.317,-241.200,-264.000,336.000,123.794,-0.002,0,能量启摆
0.581,296.873,-685.200,60.249,939.000,-264.000,336.000,116.873,0.001,0,能量启摆
0.601,276.108,-1264.200,86.594,1592.400,-264.000,336.000,96.108,0.006,0,能量启摆
0.621,248.291,-1439.400,122.344,1876.200,180.000,-240.000,68.291,0.007,0,能量启摆
0.640,222.913,-629.400,154.775,705.600,180.000,-240.000,42.913,-0.005,0,能量启摆
0.661,222.605,247.800,154.644,-169.800,180.000,-240.000,42.605,-0.007,0,能量启摆
0.681,231.548,650.400,143.503,-917.400,180.000,-240.000,51.548,-0.004,0,能量启摆
0.701,248.621,906.600,120.740,-1278.000,180.000,-240.000,68.621,-0.000,0,能量启摆
0.721,268.550,1080.000,94.219,-1467.000,180.000,-240.000,88.550,0.003,0,能量启摆
0.741,289.578,1071.600,65.676,-1448.400,-264.000,336.000,109.578,0.004,0,能量启摆
0.760,306.145,124.800,42.561,-348.600,-264.000,336.000,126.145,-0.002,0,能量启摆
0.779,299.246,-596.400,48.142,702.000,-264.000,336.000,119.246,0.000,0,能量启摆
0.799,279.734,-1207.800,72.356,1503.000,-264.000,336.000,99.734,0.006,0,能量启摆
0.820,252.598,-1458.600,106.150,1804.800,180.000,-240.000,72.598,0.008,0,能量启摆
0.840,227.747,-600.600,138.713,735.600,180.000,-240.000,47.747,-0.005,0,能量启摆
0.860,227.285,163.800,138.647,-148.200,180.000,-240.000,47.285,-0.007,0,能量启摆
0.880,236.514,746.400,127.947,-924.600,180.000,-240.000,56.514,-0.003,0,能量启摆
0.900,253.477,981.000,104.744,-1273.800,180.000,-240.000,73.477,0.001,0,能量启摆
0.921,273.494,1105.800,77.651,-1459.800,-264.000,336.000,93.494,0.004,0,能量启摆
0.940,290.039,132.000,54.448,-387.600,-264.000,336.000,110.039,-0.003,0,能量启摆
0.960,283.315,-613.800,62.644,793.200,-264.000,336.000,103.315,-0.001,0,能量启摆
0.980,263.870,-1156.800,87.759,1523.400,180.000,-240.000,83.870,0.004,0,能量启摆
1.000,241.260,-616.200,116.521,640.200,180.000,-240.000,61.260,-0.004,0,能量启摆
1.020,240.469,145.200,116.016,-240.000,180.000,-240.000,60.469,-0.006,0,能量启摆
1.039,248.972,700.200,102.634,-890.400,180.000,-240.000,68.972,-0.003,0,能量启摆
1.059,266.396,946.200,79.827,-1266.000,180.000,-240.000,86.396,0.001,0,能量启摆
1.080,286.787,1093.200,53.174,-1339.200,-264.000,336.000,106.787,0.005,0,能量启摆
1.100,303.135,140.400,31.223,-296.400,-264.000,336.000,123.135,-0.002,0,能量启摆
1.120,296.477,-663.600,41.375,912.600,-264.000,336.000,116.477,0.000,0,能量启摆
1.140,275.427,-1330.200,68.555,1627.800,-264.000,336.000,95.427,0.007,0,能量启摆
1.160,247.390,-1455.600,103.579,1792.200,180.000,-240.000,67.390,0.008,0,能量启摆
1.180,221.309,-731.400,136.758,839.400,180.000,-240.000,41.309,-0.004,0,能量启摆
1.200,221.353,255.600,136.736,-332.400,180.000,-240.000,41.353,-0.007,0,能量启摆
1.220,230.383,631.200,121.948,-1099.800,180.000,-240.000,50.383,-0.004,0,能量启摆
1.240,247.170,879.600,98.503,-1219.800,180.000,-240.000,67.170,-0.001,0,能量启摆
1.260,267.166,1052.400,71.213,-1402.800,180.000,-240.000,87.166,0.003,0,能量启摆
1.280,288.523,1095.600,43.506,-1384.200,-264.000,336.000,108.523,0.005,0,能量启摆
1.299,305.134,75.000,21.094,-336.600,-264.000,336.000,125.134,-0.002,0,能量启摆
1.319,296.807,-685.800,31.685,953.400,-264.000,336.000,116.807,0.001,0,能量启摆
1.339,275.361,-1291.200,59.348,1673.400,-264.000,336.000,95.361,0.007,0,能量启摆
1.359,247.610,-1441.200,94.680,1869.600,180.000,-240.000,67.610,0.007,0,能量启摆
1.379,221.924,-628.800,127.156,819.600,180.000,-240.000,41.924,-0.005,0,能量启摆
1.400,222.781,304.200,124.233,-470.400,180.000,-240.000,42.781,-0.007,0,能量启摆
1.420,232.998,710.400,109.841,-1053.600,180.000,-240.000,52.998,-0.003,0,能量启摆
1.440,250.378,904.200,86.353,-1210.200,180.000,-240.000,70.378,-0.000,0,能量启摆
1.460,270.483,1107.000,59.458,-1376.400,-264.000,336.000,90.483,0.004,0,能量启摆
1.480,287.402,224.400,37.551,-295.800,-264.000,336.000,107.402,-0.003,0,能量启摆
1.499,279.734,-711.000,48.691,1034.400,-264.000,336.000,99.734,-0.000,0,能量启摆
1.519,257.805,-1240.800,76.509,1593.600,180.000,-240.000,77.805,0.005,0,能量启摆
1.540,234.404,-471.600,105.491,656.400,180.000,-240.000,54.404,-0.005,0,能量启摆
1.559,236.074,366.600,103.887,-347.400,180.000,-240.000,56.074,-0.006,0,能量启摆
1.579,246.577,682.200,87.385,-1074.600,180.000,-240.000,66.577,-0.003,0,能量启摆
1.599,263.584,921.600,63.040,-1321.200,180.000,-240.000,83.584,0.001,0,能量启摆
1.620,283.557,1065.000,36.145,-1405.800,-264.000,336.000,103.557,0.004,0,能量启摆
1.640,300.344,205.200,14.260,-137.400,-264.000,336.000,120.344,-0.002,0,能量启摆
1.660,293.445,-728.400,25.686,989.400,-264.000,336.000,113.445,0.001,0,能量启摆
1.680,271.362,-1308.000,53.438,1629.000,-264.000,336.000,91.362,0.007,0,能量启摆
1.700,243.435,-1491.600,88.748,1880.400,180.000,-240.000,63.435,0.008,0,能量启摆
1.720,217.749,-556.200,121.597,848.400,180.000,-240.000,37.749,-0.005,0,能量启摆
1.740,217.925,258.600,121.245,-318.000,180.000,-240.000,37.925,-0.007,0,能量启摆
1.760,228.428,644.400,106.567,-1075.200,180.000,-240.000,48.428,-0.004,0,能量启摆
1.780,245.127,906.600,82.925,-1297.200,180.000,-240.000,65.127,-0.001,0,能量启摆
1.800,264.639,1006.800,55.920,-1375.200,180.000,-240.000,84.639,0.002,0,能量启摆
1.820,285.952,1143.600,27.532,-1410.600,-264.000,336.000,105.952,0.005,0,能量启摆
1.840,303.267,270.000,4.087,-321.000,-264.000,336.000,123.267,-0.001,0,能量启摆
1.860,296.257,-687.000,14.150,963.600,-264.000,336.000,116.257,0.001,0,能量启摆
1.880,275.032,-1272.000,41.506,1627.800,-264.000,336.000,95.032,0.006,0,能量启摆
1.900,247.170,-1472.400,76.860,1911.000,180.000,-240.000,67.170,0.008,0,能量启摆
