时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),能量(J),策略,是否平衡
0.000,359.912,0.000,359.978,-5.400,93.600,49.920,179.912,-0.000,旋转能量启摆,0
0.020,0.286,53.400,0.088,5.400,-156.000,-83.200,179.714,0.000,旋转能量启摆,0
0.040,0.483,-81.000,359.956,-35.400,156.000,83.200,179.517,0.000,旋转能量启摆,0
0.060,359.890,105.000,359.802,47.400,-156.000,-83.200,179.890,0.000,旋转能量启摆,0
0.080,0.703,-85.200,359.868,-59.400,156.000,83.200,179.297,0.000,旋转能量启摆,0
0.101,0.176,92.400,359.692,47.400,-156.000,-83.200,179.824,0.000,旋转能量启摆,0
0.120,1.143,-88.200,359.802,-55.200,156.000,83.200,178.857,0.000,旋转能量启摆,0
0.140,0.637,77.400,359.758,46.800,-156.000,-83.200,179.363,0.000,旋转能量启摆,0
0.160,1.450,-73.800,359.824,-49.200,156.000,83.200,178.550,0.000,旋转能量启摆,0
0.180,0.681,77.400,359.736,47.400,-156.000,-83.200,179.319,0.000,旋转能量启摆,0
0.200,1.406,-87.000,359.736,-36.600,156.000,83.200,178.594,0.000,旋转能量启摆,0
0.220,0.461,88.200,359.670,42.000,-156.000,-83.200,179.539,0.000,旋转能量启摆,0
0.240,1.428,-87.600,359.714,-37.200,156.000,83.200,178.572,0.000,旋转能量启摆,0
0.260,0.286,76.200,359.583,51.600,-156.000,-83.200,179.714,0.000,旋转能量启摆,0
0.280,1.208,-82.800,359.714,-43.800,156.000,83.200,178.792,0.000,旋转能量启摆,0
0.301,359.824,103.800,359.495,47.400,-156.000,-83.200,179.824,0.000,旋转能量启摆,0
0.320,1.208,-93.000,359.692,-49.200,156.000,83.200,178.792,0.000,旋转能量启摆,0
0.340,359.692,95.400,359.429,46.200,-156.000,-83.200,179.692,0.000,旋转能量启摆,0
0.361,1.274,-85.800,359.561,-47.400,156.000,83.200,178.726,0.000,旋转能量启摆,0
0.381,359.736,92.400,359.033,45.600,-156.000,-83.200,179.736,0.000,旋转能量启摆,0
0.400,1.187,-82.800,359.275,-42.000,156.000,83.200,178.813,0.000,旋转能量启摆,0
0.420,0.022,88.800,358.594,50.400,-156.000,-83.200,179.978,0.000,旋转能量启摆,0
0.441,1.516,-66.000,358.901,-43.800,156.000,83.200,178.484,0.000,旋转能量启摆,0
0.460,0.000,91.200,358.308,40.200,-156.000,-83.200,180.000,0.000,旋转能量启摆,0
0.481,1.604,-88.200,358.506,-52.800,156.000,83.200,178.396,0.000,旋转能量启摆,0
0.501,0.000,85.800,357.869,35.400,-156.000,-83.200,180.000,0.000,旋转能量启摆,0
0.521,1.318,-87.000,358.044,-42.600,156.000,83.200,178.682,0.000,旋转能量启摆,0
0.541,359.780,112.200,357.561,40.800,-156.000,-83.200,179.780,0.000,旋转能量启摆,0
0.560,1.274,-66.600,357.803,-48.600,156.000,83.200,178.726,0.000,旋转能量启摆,0
0.580,0.066,97.200,357.605,46.800,-156.000,-83.200,179.934,0.000,旋转能量启摆,0
0.600,1.582,-70.200,357.759,-48.600,156.000,83.200,178.418,0.000,旋转能量启摆,0
0.620,0.132,71.400,357.583,36.000,-156.000,-83.200,179.868,0.000,旋转能量启摆,0
0.641,1.582,-61.200,357.737,-53.400,156.000,83.200,178.418,0.000,旋转能量启摆,0
0.660,0.176,74.400,357.561,42.000,-156.000,-83.200,179.824,0.000,旋转能量启摆,0
0.680,1.296,-68.400,357.495,-13.800,156.000,83.200,178.704,0.000,旋转能量启摆,0
0.700,359.890,62.400,357.209,34.800,-156.000,-83.200,179.890,0.000,旋转能量启摆,0
0.720,1.274,-66.000,357.407,-23.400,156.000,83.200,178.726,0.000,旋转能量启摆,0
0.740,0.066,73.200,357.363,29.400,-156.000,-83.200,179.934,0.000,旋转能量启摆,0
0.760,1.472,-63.600,357.649,-34.800,156.000,83.200,178.528,0.000,旋转能量启摆,0
0.780,0.044,69.000,357.473,7.200,-156.000,-83.200,179.956,0.000,旋转能量启摆,0
0.800,1.494,-58.800,357.407,-18.000,156.000,83.200,178.506,0.000,旋转能量启摆,0
0.820,0.352,66.600,357.144,11.400,-156.000,-83.200,179.648,0.000,旋转能量启摆,0
0.840,1.692,-58.200,357.209,-6.600,156.000,83.200,178.308,0.000,旋转能量启摆,0
0.860,0.374,72.000,356.968,27.600,-156.000,-83.200,179.626,0.000,旋转能量启摆,0
0.880,1.692,-58.800,357.144,-7.200,156.000,83.200,178.308,0.000,旋转能量启摆,0
0.900,0.352,65.400,357.209,34.800,-156.000,-83.200,179.648,0.000,旋转能量启摆,0
0.920,1.472,-59.400,357.297,-30.000,156.000,83.200,178.528,0.000,旋转能量启摆,0
0.940,0.110,72.600,357.319,28.800,-156.000,-83.200,179.890,0.000,旋转能量启摆,0
0.960,1.450,-69.000,357.363,-18.600,156.000,83.200,178.550,0.000,旋转能量启摆,0
0.980,359.956,86.400,357.385,12.000,-156.000,-83.200,179.956,0.000,旋转能量启摆,0
1.000,1.099,-70.800,357.363,-12.600,156.000,83.200,178.901,0.000,旋转能量启摆,0
1.020,359.648,91.200,357.385,22.800,-156.000,-83.200,179.648,0.000,旋转能量启摆,0
1.040,1.077,-60.600,357.407,-29.400,156.000,83.200,178.923,0.000,旋转能量启摆,0
1.060,359.583,91.200,357.407,21.600,-156.000,-83.200,179.583,0.000,旋转能量启摆,0
1.080,0.725,-75.600,357.385,-18.600,156.000,83.200,179.275,0.000,旋转能量启摆,0
1.100,359.363,82.200,357.429,23.400,-156.000,-83.200,179.363,0.000,旋转能量启摆,0
1.120,0.703,-75.600,357.561,-24.000,156.000,83.200,179.297,0.000,旋转能量启摆,0
1.140,359.341,73.200,357.671,28.800,-156.000,-83.200,179.341,0.000,旋转能量启摆,0
1.160,0.659,-65.400,358.066,-24.000,156.000,83.200,179.341,0.000,旋转能量启摆,0
