时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略,是否平衡
0.000,359.978,0.000,0.000,0.000,120.000,-0.000,179.978,表3-1四状态,0
0.021,0.659,99.000,0.000,0.000,-180.000,-0.000,179.341,表3-1四状态,0
0.041,3.142,-93.000,0.000,-4.800,180.000,1.440,176.858,表3-1四状态,0
0.060,359.297,124.200,0.000,0.000,-180.000,-0.000,179.297,表3-1四状态,0
0.081,2.329,-98.400,0.000,0.000,180.000,-0.000,177.671,表3-1四状态,0
0.100,358.901,133.200,0.000,0.000,-180.000,-0.000,178.901,表3-1四状态,0
0.120,2.351,-85.800,0.000,0.000,173.850,-0.000,177.649,表3-1四状态,0
0.140,359.209,109.200,0.000,0.000,-180.000,-0.000,179.209,表3-1四状态,0
0.160,2.417,-87.600,0.000,0.000,175.735,-0.000,177.583,表3-1四状态,0
0.180,358.857,110.400,0.000,0.000,-180.000,-0.000,178.857,表3-1四状态,0
0.200,1.538,-100.200,0.000,4.800,180.000,-1.440,178.462,表3-1四状态,0
0.220,358.330,128.400,0.000,0.000,-180.000,-0.000,178.330,表3-1四状态,0
0.240,1.604,-110.400,0.000,0.000,180.000,-0.000,178.396,表3-1四状态,0
0.260,358.286,115.800,0.000,0.000,-180.000,-0.000,178.286,表3-1四状态,0
0.280,1.560,-110.400,0.000,0.000,180.000,-0.000,178.440,表3-1四状态,0
0.300,358.704,111.600,0.000,0.000,-180.000,-0.000,178.704,表3-1四状态,0
0.320,1.890,-88.800,0.000,4.800,176.991,-1.440,178.110,表3-1四状态,0
0.340,358.792,91.800,0.000,-4.800,-180.000,1.440,178.792,表3-1四状态,0
0.360,1.582,-88.200,0.000,0.000,176.363,-0.000,178.418,表3-1四状态,0
0.380,358.638,92.400,0.000,0.000,-180.000,-0.000,178.638,表3-1四状态,0
0.400,0.791,-88.800,0.000,0.000,176.991,-0.000,179.209,表3-1四状态,0
0.420,358.220,87.600,0.000,0.000,-180.000,-0.000,178.220,表3-1四状态,0
0.440,0.571,-88.800,0.000,4.800,176.991,-1.440,179.429,表3-1四状态,0
0.460,358.154,91.800,0.000,0.000,-180.000,-0.000,178.154,表3-1四状态,0
0.480,359.934,-92.400,0.000,0.000,180.000,-0.000,179.934,表3-1四状态,0
0.500,357.781,88.200,359.978,-4.800,-180.000,1.440,177.781,表3-1四状态,0
