时间(s),摆角(°),摆速(°/s),倒立误差(°),飞轮角(°),飞轮速(°/s),控制(RPM),状态,平衡
0.00,0.00,0.00,180.00,0.00,0.00,0.00,3,0
0.02,0.02,0.00,179.98,-0.02,-10.80,0.00,3,0
0.04,-0.02,4.80,179.98,0.00,0.00,0.00,3,0
0.06,-0.02,0.00,179.98,0.00,0.00,0.00,3,0
0.08,-0.02,0.00,179.98,0.00,0.00,0.00,3,0
0.10,-0.02,0.00,179.98,0.00,0.00,0.00,3,0
0.12,-0.02,4.80,179.98,0.00,0.00,0.00,3,0
0.14,-0.02,0.00,179.98,-0.02,0.00,0.00,3,0
0.16,-0.02,0.00,179.98,-0.02,0.00,0.00,3,0
0.18,-0.04,0.00,179.96,-0.02,0.00,0.00,3,0
0.20,-0.04,0.00,179.96,0.00,0.00,0.00,3,0
0.22,-0.04,0.00,179.96,-0.02,0.00,0.00,3,0
0.24,-0.04,0.00,179.96,0.00,0.00,0.00,3,0
0.26,-0.02,0.00,179.98,-0.02,0.00,0.00,3,0
0.28,-0.02,0.00,179.98,0.00,4.80,0.00,3,0
0.30,-0.04,0.00,179.96,0.00,0.00,0.00,3,0
0.32,-0.04,0.00,179.96,0.00,5.40,0.00,3,0
0.34,-0.04,0.00,179.96,-0.02,0.00,0.00,3,0
0.36,-0.04,0.00,179.96,-0.02,0.00,0.00,3,0
0.38,-0.04,0.00,179.96,0.00,0.00,0.00,3,0
0.40,-0.04,0.00,179.96,0.00,0.00,0.00,3,0
0.42,-0.02,-4.80,179.98,-0.02,0.00,0.00,3,0
0.44,-0.04,0.00,179.96,0.00,0.00,0.00,3,0
0.46,-0.04,0.00,179.96,0.00,0.00,0.00,3,0
0.48,-0.04,0.00,179.96,0.00,4.80,0.00,3,0
0.50,-0.02,0.00,179.98,-0.02,-4.80,0.00,3,0
0.52,-0.02,0.00,179.98,-0.02,0.00,0.00,3,0
0.54,-0.04,0.00,179.96,-0.02,0.00,0.00,3,0
0.56,-0.04,0.00,179.96,0.00,0.00,0.00,3,0
0.58,-0.02,0.00,179.98,-0.02,0.00,0.00,3,0
0.60,-0.04,-5.40,179.96,0.00,4.80,0.00,3,0
0.62,-0.04,0.00,179.96,0.00,0.00,0.00,3,0
0.64,-0.04,-5.40,179.96,0.00,0.00,0.00,3,0
0.66,-0.02,0.00,179.98,-0.02,-5.40,0.00,3,0
0.68,-0.02,0.00,179.98,0.00,0.00,0.00,3,0
0.70,-0.02,0.00,179.98,0.00,0.00,0.00,3,0
0.72,-0.02,0.00,179.98,0.00,0.00,0.00,3,0
0.74,-0.02,0.00,179.98,0.00,0.00,0.00,3,0
0.76,0.00,0.00,180.00,-0.02,0.00,0.00,3,0
0.78,-0.02,0.00,179.98,0.00,0.00,0.00,3,0
0.80,0.00,0.00,180.00,0.00,0.00,0.00,3,0
0.82,-0.02,0.00,179.98,-0.02,0.00,0.00,3,0
0.84,-0.02,0.00,179.98,0.00,0.00,0.00,3,0
0.86,-0.02,0.00,179.98,0.00,0.00,0.00,3,0
0.88,0.00,0.00,180.00,0.00,0.00,0.00,3,0
0.90,0.00,0.00,180.00,0.00,0.00,0.00,3,0
