时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略
0.000,359.978,0.000,0.000,0.000,8.984,5.989,179.978,平滑启摆
0.019,0.000,0.000,359.978,-0.600,17.880,11.920,180.000,平滑启摆
0.039,0.044,10.200,0.000,0.000,-32.051,-21.368,179.956,平滑启摆
0.059,0.044,0.000,359.978,-4.800,26.603,17.735,179.956,平滑启摆
0.080,0.044,10.200,359.978,0.000,-32.051,-21.368,179.956,平滑启摆
0.099,0.044,0.000,359.956,0.000,35.055,23.370,179.956,平滑启摆
0.119,0.044,10.800,359.978,0.000,-33.937,-22.624,179.956,平滑启摆
0.139,0.066,-10.800,359.956,0.000,33.940,22.627,179.934,平滑启摆
0.159,0.066,0.000,359.956,-5.400,43.163,28.775,179.934,平滑启摆
0.180,0.417,36.000,0.066,10.200,-113.333,-75.556,179.583,平滑启摆
0.200,1.560,-55.800,359.912,-22.200,176.668,117.779,178.440,平滑启摆
0.219,1.802,171.600,0.132,57.600,-250.000,-250.000,178.198,平滑启摆
0.239,5.581,-165.000,359.758,-352.200,250.000,250.000,174.419,平滑启摆
0.259,358.923,118.200,353.694,206.400,-250.000,-246.225,178.923,平滑启摆
0.279,4.438,-169.200,358.989,-258.000,250.000,250.000,175.562,平滑启摆
0.300,358.857,90.000,353.650,222.600,-250.000,-187.419,178.857,平滑启摆
0.320,4.351,-117.000,359.758,-177.600,250.000,250.000,175.649,平滑启摆
0.340,359.736,156.600,358.066,295.200,-250.000,-250.000,179.736,平滑启摆
0.359,5.405,-163.200,2.747,-304.200,250.000,250.000,174.595,平滑启摆
0.379,0.000,167.400,357.869,311.400,-250.000,-250.000,180.000,平滑启摆
0.400,4.636,-168.600,2.922,-305.400,250.000,250.000,175.364,平滑启摆
0.419,359.099,140.400,357.671,304.200,-250.000,-250.000,179.099,平滑启摆
0.439,4.395,-164.400,2.000,-348.600,250.000,250.000,175.605,平滑启摆
0.459,358.901,135.600,356.990,278.400,-250.000,-250.000,178.901,平滑启摆
0.479,3.516,-162.600,2.021,-324.000,250.000,250.000,176.484,平滑启摆
0.499,357.803,92.400,357.891,334.800,-250.000,-191.397,177.803,平滑启摆
0.520,2.988,-130.200,3.076,-195.000,250.000,250.000,177.012,平滑启摆
0.540,357.473,98.400,1.033,325.800,-250.000,-203.486,177.473,平滑启摆
0.560,2.747,-135.000,8.108,-102.000,250.000,250.000,177.253,平滑启摆
0.580,357.385,57.600,6.768,277.800,-178.591,-119.061,177.385,平滑启摆
0.600,2.285,-36.000,15.996,57.600,114.389,76.259,177.715,平滑启摆
0.620,0.417,33.000,15.974,44.400,-103.889,-69.259,179.583,平滑启摆
0.640,1.362,-30.000,16.721,-45.000,94.890,63.260,178.638,平滑启摆
0.660,0.198,51.000,16.699,19.200,-160.380,-106.920,179.802,平滑启摆
0.680,0.439,-110.400,16.523,-55.200,250.000,231.729,179.561,平滑启摆
0.700,356.616,141.600,16.985,256.800,-250.000,-250.000,176.616,平滑启摆
0.720,3.142,-89.400,22.654,-164.400,250.000,190.178,176.858,平滑启摆
0.740,358.572,111.000,17.556,150.000,-250.000,-230.818,178.572,平滑启摆
0.759,3.186,-175.200,18.633,-240.000,250.000,250.000,176.814,平滑启摆
0.780,357.979,129.000,14.106,243.600,-250.000,-250.000,177.979,平滑启摆
0.800,3.032,-168.600,18.611,-253.800,250.000,250.000,176.968,平滑启摆
0.819,357.803,158.400,13.777,239.400,-250.000,-250.000,177.803,平滑启摆
0.839,2.197,-180.600,17.842,-253.200,250.000,250.000,177.803,平滑启摆
0.859,356.440,106.200,13.315,214.200,-250.000,-218.471,176.440,平滑启摆
0.879,1.274,-166.200,17.886,-160.800,250.000,250.000,178.726,平滑启摆
0.899,355.649,129.000,15.117,192.000,-250.000,-250.000,175.649,平滑启摆
0.919,359.626,-162.000,18.809,-212.400,250.000,250.000,179.626,平滑启摆
0.939,354.001,184.200,14.678,197.400,-250.000,-250.000,174.001,平滑启摆
0.960,358.418,-168.600,18.743,-172.200,250.000,250.000,178.418,平滑启摆
0.980,353.101,220.800,14.700,175.800,-250.000,-250.000,173.101,平滑启摆
0.999,358.198,-167.400,18.809,-178.200,250.000,250.000,178.198,平滑启摆
1.019,353.716,248.400,15.381,182.400,-250.000,-250.000,173.716,平滑启摆
1.040,359.209,-142.200,19.270,-166.800,250.000,250.000,179.209,平滑启摆
1.059,354.067,216.000,15.447,175.800,-250.000,-250.000,174.067,平滑启摆
1.079,359.451,-120.600,19.292,-154.800,250.000,250.000,179.451,平滑启摆
1.099,354.968,179.400,15.491,170.400,-250.000,-250.000,174.968,平滑启摆
1.119,0.703,-112.200,18.567,-159.600,250.000,235.817,179.297,平滑启摆
1.139,355.913,145.800,14.854,147.000,-250.000,-250.000,175.913,平滑启摆
1.159,1.516,-136.800,17.820,-160.200,250.000,250.000,178.484,平滑启摆
1.179,357.627,160.800,13.997,153.000,-250.000,-250.000,177.627,平滑启摆
1.199,3.274,-162.000,17.666,-161.400,250.000,250.000,176.726,平滑启摆
1.219,358.835,171.000,14.722,151.800,-250.000,-250.000,178.835,平滑启摆
1.239,4.043,-176.400,18.281,-147.600,250.000,250.000,175.957,平滑启摆
1.260,359.143,166.800,14.766,153.000,-250.000,-250.000,179.143,平滑启摆
1.279,4.329,-159.600,18.259,-148.200,250.000,250.000,175.671,平滑启摆
1.299,0.154,192.000,15.447,147.000,-250.000,-250.000,179.846,平滑启摆
1.319,5.273,-171.600,18.853,-138.600,250.000,250.000,174.727,平滑启摆
1.339,0.396,174.000,15.579,138.000,-250.000,-250.000,179.604,平滑启摆
1.359,4.504,-198.600,18.853,-136.800,250.000,250.000,175.496,平滑启摆
1.379,359.473,168.000,15.447,153.000,-250.000,-250.000,179.473,平滑启摆
1.399,4.285,-171.600,18.193,-148.200,250.000,250.000,175.715,平滑启摆
1.419,359.253,172.200,14.897,142.200,-250.000,-250.000,179.253,平滑启摆
1.440,4.263,-158.400,18.171,-157.800,250.000,250.000,175.737,平滑启摆
1.460,0.176,204.000,14.810,147.600,-250.000,-250.000,179.824,平滑启摆
1.480,5.317,-180.600,18.215,-149.400,250.000,250.000,174.683,平滑启摆
1.499,0.461,186.000,14.744,147.600,-250.000,-250.000,179.539,平滑启摆
1.519,5.405,-189.600,17.622,-160.200,250.000,250.000,174.595,平滑启摆
1.539,1.362,215.400,14.128,147.600,-250.000,-250.000,178.638,平滑启摆
1.560,6.438,-167.400,17.600,-160.200,250.000,250.000,173.562,平滑启摆
1.579,1.714,191.400,14.062,147.000,-250.000,-250.000,178.286,平滑启摆
1.599,6.614,-169.800,16.919,-142.800,250.000,250.000,173.386,平滑启摆
1.619,2.593,204.600,13.469,145.800,-250.000,-250.000,177.407,平滑启摆
1.639,7.625,-156.000,16.875,-153.600,250.000,250.000,172.375,平滑启摆
1.659,2.944,180.000,13.403,146.400,-250.000,-250.000,177.056,平滑启摆
1.679,7.976,-166.800,17.007,-162.000,250.000,250.000,172.024,平滑启摆
1.699,3.845,193.200,13.997,140.400,-250.000,-250.000,176.155,平滑启摆
1.719,9.097,-178.800,17.556,-150.600,250.000,250.000,170.903,平滑启摆
1.739,4.065,186.600,14.041,153.600,-250.000,-250.000,175.935,平滑启摆
1.759,9.470,-202.200,17.644,-166.800,250.000,250.000,170.530,平滑启摆
1.780,4.197,173.400,13.953,157.800,-250.000,-250.000,175.803,平滑启摆
1.799,8.789,-211.800,17.029,-178.200,250.000,250.000,171.211,平滑启摆
1.819,3.274,173.400,13.293,149.400,-250.000,-250.000,176.726,平滑启摆
1.839,8.525,-174.000,17.095,-171.000,250.000,250.000,171.475,平滑启摆
1.859,3.054,184.800,13.118,169.800,-250.000,-250.000,176.946,平滑启摆
1.879,7.581,-174.000,16.523,-173.400,250.000,250.000,172.419,平滑启摆
1.899,2.197,199.200,12.415,163.800,-250.000,-250.000,177.803,平滑启摆
1.919,7.273,-183.600,16.436,-183.600,250.000,250.000,172.727,平滑启摆
1.939,1.868,215.400,12.195,169.200,-250.000,-250.000,178.132,平滑启摆
1.960,6.064,-230.400,16.523,-183.600,250.000,250.000,173.936,平滑启摆
1.979,1.033,206.400,12.151,174.000,-250.000,-250.000,178.967,平滑启摆
2.000,5.823,-211.800,15.798,-170.400,250.000,250.000,174.177,平滑启摆
2.019,0.835,232.800,11.558,169.800,-250.000,-250.000,179.165,平滑启摆
2.039,5.867,-217.200,15.645,-171.600,250.000,250.000,174.133,平滑启摆
2.059,1.692,235.800,11.492,163.800,-250.000,-250.000,178.308,平滑启摆
2.079,6.833,-188.400,14.832,-179.400,250.000,250.000,173.167,平滑启摆
2.099,2.000,229.800,10.767,162.600,-250.000,-250.000,178.000,平滑启摆
2.119,7.053,-200.400,14.612,-171.000,250.000,250.000,172.947,平滑启摆
2.139,2.527,228.600,10.613,154.800,-250.000,-250.000,177.473,平滑启摆
