时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),M1(RPM),M2(RPM),误差(°),策略,是否平衡
0.000,0.022,0.000,0.000,0.000,52.800,26.400,179.978,平滑启摆,0
0.020,0.198,24.000,0.044,0.600,-22.117,-11.058,179.802,平滑启摆,0
0.040,0.527,-0.600,0.066,4.800,0.829,0.415,179.473,平滑启摆,0
0.060,0.505,0.000,0.066,0.000,52.800,26.400,179.495,平滑启摆,0
0.080,0.835,43.800,0.110,5.400,-40.363,-20.182,179.165,平滑启摆,0
0.100,2.615,10.800,0.132,0.000,-9.953,-4.976,177.385,平滑启摆,0
0.120,2.483,0.000,0.110,0.000,52.800,26.400,177.517,平滑启摆,0
0.139,2.659,23.400,0.154,-4.800,-21.564,-10.782,177.341,平滑启摆,0
0.159,3.647,1.200,0.154,0.000,-1.106,-0.553,176.353,平滑启摆,0
0.179,3.604,4.200,0.176,0.000,-3.870,-1.935,176.396,平滑启摆,0
0.199,3.604,0.000,0.176,0.000,52.800,26.400,176.396,平滑启摆,0
0.219,3.867,42.000,0.220,4.800,-38.704,-19.352,176.133,平滑启摆,0
0.239,5.471,12.600,0.308,0.000,-11.611,-5.806,174.529,平滑启摆,0
0.259,5.361,0.000,0.286,0.000,52.800,26.400,174.639,平滑启摆,0
0.279,5.537,30.000,0.330,0.000,-27.646,-13.823,174.463,平滑启摆,0
0.300,6.482,0.600,0.374,0.000,-0.553,-0.276,173.518,平滑启摆,0
0.320,6.416,-5.400,0.374,0.000,7.464,3.732,173.584,平滑启摆,0
0.340,6.438,0.000,0.374,0.000,52.800,26.400,173.562,平滑启摆,0
0.360,6.833,67.200,0.439,15.600,-61.927,-30.964,173.167,平滑启摆,0
0.380,8.789,-3.600,0.505,0.000,4.976,2.488,171.211,平滑启摆,0
0.400,8.459,6.600,0.483,0.000,-6.082,-3.041,171.541,平滑启摆,0
0.420,8.459,0.000,0.483,0.000,52.800,26.400,171.541,平滑启摆,0
0.440,8.657,34.800,0.527,0.000,-32.069,-16.035,171.343,平滑启摆,0
0.460,9.404,0.600,0.527,0.000,-0.553,-0.276,170.596,平滑启摆,0
0.480,9.338,0.000,0.527,-4.800,52.800,26.400,170.662,平滑启摆,0
0.500,9.690,58.200,0.571,0.000,-53.633,-26.817,170.310,平滑启摆,0
0.521,11.821,36.600,0.615,0.000,-33.728,-16.864,168.179,平滑启摆,0
0.540,11.667,-10.200,0.571,-4.800,14.099,7.050,168.333,平滑启摆,0
0.560,11.448,10.800,0.549,0.000,-9.953,-4.976,168.552,平滑启摆,0
0.580,11.448,0.000,0.527,0.000,52.800,26.400,168.552,平滑启摆,0
0.600,11.624,27.600,0.593,4.800,-25.434,-12.717,168.376,平滑启摆,0
