时间(s),摆角(°),摆速(°/s),飞轮角(°),飞轮速(°/s),电机1(RPM),电机2(RPM),误差(°),能量(J),阶段,是否平衡
0.000,359.978,0.000,359.978,0.000,500.000,500.000,179.978,-0.000,STM32风格起摆,0
0.020,4.812,1049.400,5.603,1109.400,500.000,500.000,175.188,0.007,STM32风格起摆,0
0.040,40.979,2097.000,41.968,2161.200,500.000,500.000,139.021,0.027,STM32风格起摆,0
0.060,90.945,2772.600,92.329,2806.800,500.000,500.000,89.055,0.044,STM32风格起摆,0
0.080,148.403,2950.800,149.766,2781.600,500.000,500.000,31.597,0.047,STM32风格起摆,0
0.100,208.191,3037.200,209.465,3042.600,-500.000,-500.000,28.191,0.050,STM32风格起摆,0
0.120,261.694,1610.400,261.628,1399.800,500.000,500.000,81.694,0.012,STM32风格起摆,0
0.140,257.058,261.600,253.784,286.800,500.000,500.000,77.058,-0.005,STM32风格起摆,0
0.160,290.808,2057.400,285.469,2053.800,500.000,500.000,110.808,0.024,STM32风格起摆,0
0.180,337.170,2505.600,333.018,2548.800,500.000,500.000,157.170,0.039,STM32风格起摆,0
0.200,30.608,2947.800,27.971,2979.000,480.000,500.000,149.392,0.054,STM32风格起摆,0
0.220,89.846,2964.600,87.012,3033.600,400.000,480.000,90.154,0.051,STM32风格起摆,0
0.240,147.568,2682.600,147.502,2953.800,500.000,500.000,32.432,0.038,STM32风格起摆,0
0.260,201.292,2754.000,205.554,3001.800,-500.000,-500.000,21.292,0.040,STM32风格起摆,0
0.279,251.477,1592.400,258.201,1744.800,500.000,500.000,71.477,0.010,STM32风格起摆,0
0.300,246.313,382.800,253.345,325.200,500.000,500.000,66.313,-0.005,STM32风格起摆,0
0.320,279.514,2020.200,285.535,2128.800,500.000,500.000,99.514,0.022,STM32风格起摆,0
0.340,325.393,2504.400,333.699,2563.200,500.000,500.000,145.393,0.039,STM32风格起摆,0
0.360,19.688,2767.800,28.938,2807.400,500.000,500.000,160.312,0.048,STM32风格起摆,0
0.380,78.860,2981.400,87.319,2929.200,400.000,480.000,101.140,0.052,STM32风格起摆,0
0.400,137.439,2827.200,148.425,2947.200,500.000,500.000,42.561,0.043,STM32风格起摆,0
0.420,191.931,2828.400,206.741,3024.000,-500.000,-500.000,11.931,0.042,STM32风格起摆,0
0.440,241.787,1248.000,258.772,1486.800,500.000,500.000,61.787,0.004,STM32风格起摆,0
